description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	60
Time reading (minutes & seconds)	10m2.65s
Time solving (minutes & seconds)	0m16.83s
Time writing (minutes & seconds)	0m1.02s
Total variables	541834
Total constraints	501212
Objective value	4.618846035E7
