description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	54
Prism version when problem solved	PRISM ALPHA 1.2.01
Date & time problem solved	2018/06/18 - 01:36:26
Time reading (minutes & seconds)	15.89s
Time solving (minutes & seconds)	10.9s
Time writing (minutes & seconds)	16.33s
Total variables	476104
Total constraints	444652
Objective value	4.3326377485E8
