action_list	layer_id	attribute_id	adjusted_percentage	
broadcast_burn_1	layer1	B	0.0	
broadcast_burn_2	layer1	B	0.0	
broadcast_burn_3	layer1	B	0.0	
clear_cut_1	layer1	B	0.0	
clear_cut_2	layer1	B	0.0	
clear_cut_3	layer1	B	0.0	
commercial_thin_1	layer1	B	0.0	
commercial_thin_3	layer1	B	0.0	
group_openning_1	layer1	B	0.0	
group_openning_2	layer1	B	0.0	
group_openning_3	layer1	B	0.0	
no-action	layer1	B	0.0	
pre_commercial_thin_1	layer1	B	0.0	
pre_commercial_thin_2	layer1	B	0.0	
pre_commercial_thin_3	layer1	B	0.0	
seed_cut	layer1	B	0.0	
single_tree_openning	layer1	B	0.0	
tree_planting	layer1	B	0.0	
understory_burn_1	layer1	B	0.0	
understory_burn_2	layer1	B	0.0	
understory_burn_3	layer1	B	0.0	
weed_treatments	layer1	B	0.0	
broadcast_burn_1	layer1	U	0.0	
broadcast_burn_2	layer1	U	0.0	
broadcast_burn_3	layer1	U	0.0	
clear_cut_1	layer1	U	0.0	
clear_cut_2	layer1	U	0.0	
clear_cut_3	layer1	U	0.0	
commercial_thin_1	layer1	U	0.0	
commercial_thin_3	layer1	U	0.0	
group_openning_1	layer1	U	0.0	
group_openning_2	layer1	U	0.0	
group_openning_3	layer1	U	0.0	
no-action	layer1	U	0.0	
pre_commercial_thin_1	layer1	U	0.0	
pre_commercial_thin_2	layer1	U	0.0	
pre_commercial_thin_3	layer1	U	0.0	
seed_cut	layer1	U	0.0	
single_tree_openning	layer1	U	0.0	
tree_planting	layer1	U	0.0	
understory_burn_1	layer1	U	0.0	
understory_burn_2	layer1	U	0.0	
understory_burn_3	layer1	U	0.0	
weed_treatments	layer1	U	0.0	
broadcast_burn_1	layer1	S	0.0	
broadcast_burn_2	layer1	S	0.0	
broadcast_burn_3	layer1	S	0.0	
clear_cut_1	layer1	S	0.0	
clear_cut_2	layer1	S	0.0	
clear_cut_3	layer1	S	0.0	
commercial_thin_1	layer1	S	0.0	
commercial_thin_3	layer1	S	0.0	
group_openning_1	layer1	S	0.0	
group_openning_2	layer1	S	0.0	
group_openning_3	layer1	S	0.0	
no-action	layer1	S	0.0	
pre_commercial_thin_1	layer1	S	0.0	
pre_commercial_thin_2	layer1	S	0.0	
pre_commercial_thin_3	layer1	S	0.0	
seed_cut	layer1	S	0.0	
