description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	60
Time reading (minutes & seconds)	8m35.68s
Time solving (minutes & seconds)	0m15.38s
Time writing (minutes & seconds)	0m17.09s
Total variables	541834
Total constraints	501212
Objective value	4.618846035E7
