var_id	var_name	var_value	var_reduced_cost	db_strata_tofind	db_row_id_tofind	db_status
3077	xEAr_P,R,4,U,D,4,3	3.64	0.0	D_EA_0_R	3	missing yield table
3078	xEAr_P,R,4,U,D,5,1	3.65	0.0	D_EA_0_R	4	missing yield table
3079	xEAr_P,R,4,U,D,5,2	3.64	0.0	D_EA_0_R	4	missing yield table
3080	xEAr_P,R,4,U,D,5,3	3.64	0.0	D_EA_0_R	4	missing yield table
3081	xEAr_P,R,4,U,D,5,4	3.63	0.0	D_EA_0_R	4	missing yield table
3132	xEAr_P,R,4,G,B,2,1	3.18	0.0	B_EA_0_R	1	missing yield table
3133	xEAr_P,R,4,G,B,3,1	3.18	0.0	B_EA_0_R	2	missing yield table
3134	xEAr_P,R,4,G,B,3,2	3.17	0.0	B_EA_0_R	2	missing yield table
3135	xEAr_P,R,4,G,B,4,1	3.18	0.0	B_EA_0_R	3	missing yield table
3136	xEAr_P,R,4,G,B,4,2	3.17	0.0	B_EA_0_R	3	missing yield table
3137	xEAr_P,R,4,G,B,4,3	3.17	0.0	B_EA_0_R	3	missing yield table
3138	xEAr_P,R,4,G,B,5,1	3.18	0.0	B_EA_0_R	4	missing yield table
3139	xEAr_P,R,4,G,B,5,2	3.17	0.0	B_EA_0_R	4	missing yield table
3140	xEAr_P,R,4,G,B,5,3	3.17	0.0	B_EA_0_R	4	missing yield table
3141	xEAr_P,R,4,G,B,5,4	3.16	0.0	B_EA_0_R	4	missing yield table
3282	xEAr_P,R,5,L,I,2,1	3.23	0.0	I_EA_0_R	1	missing yield table
3283	xEAr_P,R,5,L,I,3,1	3.23	0.0	I_EA_0_R	2	missing yield table
3284	xEAr_P,R,5,L,I,3,2	3.23	0.0	I_EA_0_R	2	missing yield table
3285	xEAr_P,R,5,L,I,4,1	3.23	0.0	I_EA_0_R	3	missing yield table
3286	xEAr_P,R,5,L,I,4,2	3.23	0.0	I_EA_0_R	3	missing yield table
3287	xEAr_P,R,5,L,I,4,3	3.22	0.0	I_EA_0_R	3	missing yield table
3288	xEAr_P,R,5,L,I,5,1	3.23	0.0	I_EA_0_R	4	missing yield table
3289	xEAr_P,R,5,L,I,5,2	3.23	0.0	I_EA_0_R	4	missing yield table
3290	xEAr_P,R,5,L,I,5,3	3.22	0.0	I_EA_0_R	4	missing yield table
3291	xEAr_P,R,5,L,I,5,4	3.21	0.0	I_EA_0_R	4	missing yield table
3332	xEAr_P,R,5,G,F,2,1	1.38	0.0	F_EA_0_R	1	missing yield table
3333	xEAr_P,R,5,G,F,3,1	1.38	0.0	F_EA_0_R	2	missing yield table
3334	xEAr_P,R,5,G,F,3,2	1.38	0.0	F_EA_0_R	2	missing yield table
3335	xEAr_P,R,5,G,F,4,1	1.38	0.0	F_EA_0_R	3	missing yield table
3336	xEAr_P,R,5,G,F,4,2	1.38	0.0	F_EA_0_R	3	missing yield table
3337	xEAr_P,R,5,G,F,4,3	1.37	0.0	F_EA_0_R	3	missing yield table
3338	xEAr_P,R,5,G,F,5,1	1.38	0.0	F_EA_0_R	4	missing yield table
3339	xEAr_P,R,5,G,F,5,2	1.38	0.0	F_EA_0_R	4	missing yield table
3340	xEAr_P,R,5,G,F,5,3	1.37	0.0	F_EA_0_R	4	missing yield table
3341	xEAr_P,R,5,G,F,5,4	1.37	0.0	F_EA_0_R	4	missing yield table
3382	xEAr_P,R,6,W,C,2,1	1.98	0.0	C_EA_0_R	1	missing yield table
