strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
AN3OEF	A	N	3	O	E	F	38.915	0.0	0.0	0.0	2.15	1.9349999999999998
AN3OEG	A	N	3	O	E	G	24.435	0.0	0.0	0.0	1.35	1.2149999999999999
AN3OEH	A	N	3	O	E	H	0.0	123.985	0.0	0.0	6.8500000000000005	6.165
AN3OEI	A	N	3	O	E	I	0.0	18.1	0.0	0.0	1.0	0.8999999999999999
AN3OEJ	A	N	3	O	E	J	0.0	29.865000000000002	0.0	0.0	1.6500000000000001	1.4849999999999999
AN3OEK	A	N	3	O	E	K	0.0	148.42000000000002	0.0	0.0	8.200000000000001	7.38
AN3OEN	A	N	3	O	E	N	0.0	31.675	0.0	0.0	1.75	1.575
AN3OFF	A	N	3	O	F	F	0.0	25.34	0.0	0.0	1.4000000000000001	1.26
AN3OFH	A	N	3	O	F	H	0.0	284.17	0.0	0.0	15.700000000000001	14.129999999999999
AN3OFI	A	N	3	O	F	I	0.0	71.495	0.0	0.0	3.95	3.5549999999999997
AN3OFJ	A	N	3	O	F	J	0.0	19.91	0.0	0.0	1.1	0.99
AN3OFK	A	N	3	O	F	K	0.0	68.78	0.0	0.0	3.8000000000000003	3.42
AN3OFL	A	N	3	O	F	L	0.0	69.685	0.0	0.0	3.85	3.465
AN3OFM	A	N	3	O	F	M	0.0	88.69	0.0	0.0	4.9	4.41
AN3OFN	A	N	3	O	F	N	0.0	142.085	0.0	0.0	7.8500000000000005	7.0649999999999995
AN3OFO	A	N	3	O	F	O	0.0	314.94	0.0	0.0	17.400000000000002	15.66
AN3OGF	A	N	3	O	G	F	255.20999999999998	0.0	0.0	0.0	14.100000000000001	12.69
AN3OGG	A	N	3	O	G	G	24.435	0.0	0.0	0.0	1.35	1.2149999999999999
AN3OGH	A	N	3	O	G	H	0.0	462.455	0.0	0.0	25.55	22.994999999999997
AN3OGI	A	N	3	O	G	I	0.0	38.915	0.0	0.0	2.15	1.9349999999999998
AN3OGJ	A	N	3	O	G	J	0.0	69.685	0.0	0.0	3.85	3.465
AN3OGK	A	N	3	O	G	K	0.0	108.6	0.0	0.0	6.0	5.3999999999999995
AN3OGL	A	N	3	O	G	L	0.0	32.580000000000005	0.0	0.0	1.8	1.6199999999999999
AN3OGO	A	N	3	O	G	O	0.0	41.63	0.0	0.0	2.3000000000000003	2.07
AN3OHK	A	N	3	O	H	K	0.0	18.1	0.0	0.0	1.0	0.8999999999999999
AN3OHN	A	N	3	O	H	N	0.0	23.53	0.0	0.0	1.3	1.17
AN3OHO	A	N	3	O	H	O	0.0	21.72	0.0	0.0	1.2000000000000002	1.08
AN3OIF	A	N	3	O	I	F	47.06	0.0	0.0	0.0	2.6	2.34
AN3OIH	A	N	3	O	I	H	0.0	438.02000000000004	0.0	0.0	24.200000000000003	21.779999999999998
AN3OII	A	N	3	O	I	I	0.0	441.64000000000004	0.0	0.0	24.400000000000002	21.96
AN3OIJ	A	N	3	O	I	J	0.0	415.39500000000004	0.0	0.0	22.950000000000003	20.654999999999998
AN3OIK	A	N	3	O	I	K	0.0	235.3	0.0	0.0	13.0	11.7
AN3OIL	A	N	3	O	I	L	0.0	20.815	0.0	0.0	1.1500000000000001	1.035
AN3OIM	A	N	3	O	I	M	0.0	74.21000000000001	0.0	0.0	4.1000000000000005	3.69
AN3OIN	A	N	3	O	I	N	0.0	229.87	0.0	0.0	12.700000000000001	11.43
AN3OIO	A	N	3	O	I	O	0.0	396.39000000000004	0.0	0.0	21.900000000000002	19.71
AN4LDF	A	N	4	L	D	F	0.0	38.915	0.0	0.0	2.15	1.9349999999999998
AN4LDG	A	N	4	L	D	G	0.0	37.105000000000004	0.0	0.0	2.0500000000000003	1.845
AN4LDH	A	N	4	L	D	H	0.0	145.70499999999998	0.0	0.0	8.05	7.245
AN4LDI	A	N	4	L	D	I	0.0	78.735	0.0	0.0	4.3500000000000005	3.915
AN4LDJ	A	N	4	L	D	J	0.0	142.085	0.0	0.0	7.8500000000000005	7.0649999999999995
AN4LDK	A	N	4	L	D	K	281.455	0.0	0.0	0.0	15.55	13.995
AN4LDL	A	N	4	L	D	L	0.0	57.919999999999995	0.0	0.0	3.2	2.88
