description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	67
Prism version when problem solved	PRISM ALPHA 1.1.08
Date & time problem solved	2018/05/30 - 11:07:38
Time reading (minutes & seconds)	1m49.66s
Time solving (minutes & seconds)	3m44.81s
Time writing (minutes & seconds)	22.31s
Total variables	1621509
Total constraints	1458169
Objective value	1.946159543E7
