Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Natural Growth (acres)	Prescribed Burn (acres)	Group Selection (acres)	Even Age (acres)
BRNLDM	B	R	N	L	D	M	0.0	0.0	0.0	107.0
BRNLDL	B	R	N	L	D	L	0.0	0.0	0.0	61.0
BRNLWP	B	R	N	L	W	P	0.0	0.0	0.0	106.0
BRNLWM	B	R	N	L	W	M	0.0	0.0	0.0	938.0
BRNLWL	B	R	N	L	W	L	0.0	0.0	0.0	1333.0
BRNLCP	B	R	N	L	C	P	0.0	80.0	0.0	0.0
BRNLCM	B	R	N	L	C	M	0.0	761.0	0.0	0.0
BRNLCL	B	R	N	L	C	L	0.0	1571.0	0.0	0.0
BRNLIM	B	R	N	L	I	M	0.0	112.0	0.0	0.0
BRNLIL	B	R	N	L	I	L	0.0	113.0	0.0	0.0
BRNLAM	B	R	N	L	A	M	195.0	0.0	0.0	0.0
BRNLAL	B	R	N	L	A	L	310.0	0.0	0.0	0.0
BRNLLM	B	R	N	L	L	M	67.0	0.0	0.0	0.0
BRNLNN	B	R	N	L	N	N	779.0	0.0	0.0	0.0
BRNHWP	B	R	N	H	W	P	0.0	0.0	0.0	129.0
BRNHWM	B	R	N	H	W	M	0.0	0.0	0.0	409.0
BRNHWL	B	R	N	H	W	L	0.0	0.0	0.0	706.0
BRNHCP	B	R	N	H	C	P	0.0	58.0	0.0	0.0
BRNHCM	B	R	N	H	C	M	0.0	509.0	0.0	0.0
BRNHCL	B	R	N	H	C	L	0.0	1019.0	0.0	0.0
BRNHAM	B	R	N	H	A	M	57.0	0.0	0.0	0.0
BRNHLM	B	R	N	H	L	M	118.0	0.0	0.0	0.0
BRNCPP	B	R	N	C	P	P	0.0	0.0	0.0	55.0
BRNCPM	B	R	N	C	P	M	0.0	0.0	0.0	442.0
BRNCPL	B	R	N	C	P	L	0.0	0.0	837.0	0.0
BRNCDP	B	R	N	C	D	P	0.0	0.0	0.0	56.0
BRNCDM	B	R	N	C	D	M	0.0	0.0	0.0	377.0
BRNCDL	B	R	N	C	D	L	0.0	0.0	0.0	542.0
BRNCWS	B	R	N	C	W	S	0.0	0.0	0.0	163.0
BRNCWP	B	R	N	C	W	P	0.0	0.0	0.0	260.0
BRNCWM	B	R	N	C	W	M	0.0	0.0	0.0	1750.0
BRNCWL	B	R	N	C	W	L	0.0	0.0	0.0	3076.0
BRNCCS	B	R	N	C	C	S	0.0	104.0	0.0	0.0
BRNCCP	B	R	N	C	C	P	0.0	194.0	0.0	0.0
BRNCCM	B	R	N	C	C	M	0.0	987.0	0.0	0.0
BRNCCL	B	R	N	C	C	L	0.0	4702.0	0.0	0.0
BRNCIM	B	R	N	C	I	M	0.0	79.0	0.0	0.0
BRNCIL	B	R	N	C	I	L	0.0	239.0	0.0	0.0
BRNCAM	B	R	N	C	A	M	113.0	0.0	0.0	0.0
BRNCAL	B	R	N	C	A	L	137.0	0.0	0.0	0.0
BRNCLM	B	R	N	C	L	M	161.0	0.0	0.0	0.0
BRNCLL	B	R	N	C	L	L	140.0	0.0	0.0	0.0
BRNCNN	B	R	N	C	N	N	1412.0	0.0	0.0	0.0
BRNRPM	B	R	N	R	P	M	0.0	0.0	0.0	136.0
BRNRPL	B	R	N	R	P	L	0.0	0.0	68.0	0.0
BRNRDM	B	R	N	R	D	M	0.0	0.0	0.0	120.0
BRNRDL	B	R	N	R	D	L	0.0	0.0	0.0	314.0
BRNRWS	B	R	N	R	W	S	0.0	0.0	0.0	61.0
BRNRWP	B	R	N	R	W	P	0.0	0.0	0.0	128.0
BRNRWM	B	R	N	R	W	M	0.0	0.0	0.0	606.0
BRNRWL	B	R	N	R	W	L	0.0	0.0	0.0	1929.0
BRNRCP	B	R	N	R	C	P	0.0	111.0	0.0	0.0
BRNRCM	B	R	N	R	C	M	0.0	760.0	0.0	0.0
BRNRCL	B	R	N	R	C	L	0.0	2381.0	0.0	0.0
BRNRAL	B	R	N	R	A	L	79.0	0.0	0.0	0.0
BRNRLL	B	R	N	R	L	L	56.0	0.0	0.0	0.0
BRNRNN	B	R	N	R	N	N	1135.0	0.0	0.0	0.0
BROLCL	B	R	O	L	C	L	0.0	65.0	0.0	0.0
BROHCL	B	R	O	H	C	L	0.0	168.0	0.0	0.0
BROCPL	B	R	O	C	P	L	0.0	0.0	83.0	0.0
BROCDL	B	R	O	C	D	L	0.0	0.0	0.0	128.0
BROCWM	B	R	O	C	W	M	0.0	0.0	0.0	66.0
BROCWL	B	R	O	C	W	L	0.0	0.0	0.0	335.0
BROCCS	B	R	O	C	C	S	0.0	78.0	0.0	0.0
BROCCM	B	R	O	C	C	M	0.0	51.0	0.0	0.0
BROCCL	B	R	O	C	C	L	0.0	311.0	0.0	0.0
BRORPL	B	R	O	R	P	L	0.0	0.0	82.0	0.0
BRORDL	B	R	O	R	D	L	0.0	0.0	0.0	248.0
BRORWS	B	R	O	R	W	S	0.0	0.0	0.0	60.0
BRORWP	B	R	O	R	W	P	0.0	0.0	0.0	63.0
BRORWM	B	R	O	R	W	M	0.0	0.0	0.0	246.0
BRORWL	B	R	O	R	W	L	0.0	0.0	0.0	1268.0
BRORCS	B	R	O	R	C	S	0.0	58.0	0.0	0.0
BRORCP	B	R	O	R	C	P	0.0	70.0	0.0	0.0
BRORCM	B	R	O	R	C	M	0.0	360.0	0.0	0.0
BRORCL	B	R	O	R	C	L	0.0	1611.0	0.0	0.0
BRORNN	B	R	O	R	N	N	86.0	0.0	0.0	0.0
BRPLWS	B	R	P	L	W	S	0.0	0.0	0.0	139.0
BRPLWP	B	R	P	L	W	P	0.0	0.0	0.0	85.0
BRPLWM	B	R	P	L	W	M	0.0	0.0	0.0	68.0
BRPLWL	B	R	P	L	W	L	0.0	0.0	0.0	424.0
BRPLCS	B	R	P	L	C	S	0.0	155.0	0.0	0.0
BRPLCP	B	R	P	L	C	P	0.0	53.0	0.0	0.0
BRPLCM	B	R	P	L	C	M	0.0	85.0	0.0	0.0
BRPLCL	B	R	P	L	C	L	0.0	471.0	0.0	0.0
BRPLIL	B	R	P	L	I	L	0.0	72.0	0.0	0.0
BRPLAM	B	R	P	L	A	M	77.0	0.0	0.0	0.0
BRPLAL	B	R	P	L	A	L	85.0	0.0	0.0	0.0
BRPHWP	B	R	P	H	W	P	0.0	0.0	0.0	76.0
BRPHWM	B	R	P	H	W	M	0.0	0.0	0.0	203.0
BRPHWL	B	R	P	H	W	L	0.0	0.0	0.0	324.0
BRPHCM	B	R	P	H	C	M	0.0	333.0	0.0	0.0
BRPHCL	B	R	P	H	C	L	0.0	644.0	0.0	0.0
BRPHLL	B	R	P	H	L	L	79.0	0.0	0.0	0.0
BRPCPS	B	R	P	C	P	S	0.0	0.0	0.0	53.0
BRPCPL	B	R	P	C	P	L	0.0	0.0	293.0	0.0
BRPCDS	B	R	P	C	D	S	0.0	0.0	0.0	67.0
BRPCDL	B	R	P	C	D	L	0.0	0.0	0.0	217.0
BRPCWS	B	R	P	C	W	S	0.0	0.0	0.0	464.0
BRPCWP	B	R	P	C	W	P	0.0	0.0	0.0	277.0
BRPCWM	B	R	P	C	W	M	0.0	0.0	0.0	160.0
BRPCWL	B	R	P	C	W	L	0.0	0.0	0.0	1167.0
BRPCCS	B	R	P	C	C	S	0.0	392.0	0.0	0.0
BRPCCP	B	R	P	C	C	P	0.0	64.0	0.0	0.0
BRPCCM	B	R	P	C	C	M	0.0	219.0	0.0	0.0
BRPCCL	B	R	P	C	C	L	0.0	1056.0	0.0	0.0
BRPCIS	B	R	P	C	I	S	0.0	61.0	0.0	0.0
BRPCIL	B	R	P	C	I	L	0.0	167.0	0.0	0.0
BRPCAS	B	R	P	C	A	S	77.0	0.0	0.0	0.0
BRPCAL	B	R	P	C	A	L	86.0	0.0	0.0	0.0
BRPCNN	B	R	P	C	N	N	123.0	0.0	0.0	0.0
BRPRPS	B	R	P	R	P	S	0.0	0.0	0.0	57.0
BRPRPP	B	R	P	R	P	P	0.0	0.0	0.0	70.0
BRPRPM	B	R	P	R	P	M	0.0	0.0	0.0	162.0
BRPRPL	B	R	P	R	P	L	0.0	0.0	481.0	0.0
BRPRDS	B	R	P	R	D	S	0.0	0.0	0.0	277.0
BRPRDP	B	R	P	R	D	P	0.0	0.0	0.0	138.0
BRPRDM	B	R	P	R	D	M	0.0	0.0	0.0	344.0
BRPRDL	B	R	P	R	D	L	0.0	0.0	0.0	1188.0
BRPRWS	B	R	P	R	W	S	0.0	0.0	0.0	554.0
BRPRWP	B	R	P	R	W	P	0.0	0.0	0.0	373.0
BRPRWM	B	R	P	R	W	M	0.0	0.0	0.0	1743.0
BRPRWL	B	R	P	R	W	L	0.0	0.0	0.0	5277.0
BRPRCS	B	R	P	R	C	S	0.0	399.0	0.0	0.0
BRPRCP	B	R	P	R	C	P	0.0	394.0	0.0	0.0
BRPRCM	B	R	P	R	C	M	0.0	2608.0	0.0	0.0
BRPRCL	B	R	P	R	C	L	0.0	7588.0	0.0	0.0
BRPRIP	B	R	P	R	I	P	0.0	55.0	0.0	0.0
BRPRIL	B	R	P	R	I	L	0.0	92.0	0.0	0.0
BRPRAL	B	R	P	R	A	L	52.0	0.0	0.0	0.0
BRPRLL	B	R	P	R	L	L	81.0	0.0	0.0	0.0
BRPRNN	B	R	P	R	N	N	166.0	0.0	0.0	0.0
BNNLPL	B	N	N	L	P	L	0.0	0.0	92.0	0.0
BNNLDL	B	N	N	L	D	L	0.0	0.0	0.0	58.0
BNNLWS	B	N	N	L	W	S	0.0	0.0	0.0	75.0
BNNLWP	B	N	N	L	W	P	0.0	0.0	0.0	64.0
BNNLWM	B	N	N	L	W	M	0.0	0.0	0.0	337.0
BNNLWL	B	N	N	L	W	L	0.0	0.0	0.0	1144.0
BNNLCS	B	N	N	L	C	S	0.0	100.0	0.0	0.0
BNNLCM	B	N	N	L	C	M	0.0	396.0	0.0	0.0
BNNLCL	B	N	N	L	C	L	0.0	1396.0	0.0	0.0
BNNLIS	B	N	N	L	I	S	0.0	140.0	0.0	0.0
BNNLIM	B	N	N	L	I	M	0.0	217.0	0.0	0.0
BNNLIL	B	N	N	L	I	L	0.0	242.0	0.0	0.0
BNNLAS	B	N	N	L	A	S	86.0	0.0	0.0	0.0
BNNLAM	B	N	N	L	A	M	157.0	0.0	0.0	0.0
BNNLAL	B	N	N	L	A	L	378.0	0.0	0.0	0.0
BNNLLM	B	N	N	L	L	M	75.0	0.0	0.0	0.0
BNNLNN	B	N	N	L	N	N	701.0	0.0	0.0	0.0
BNNHCL	B	N	N	H	C	L	0.0	71.0	0.0	0.0
BNNCPP	B	N	N	C	P	P	0.0	0.0	0.0	142.0
BNNCPM	B	N	N	C	P	M	0.0	0.0	0.0	909.0
BNNCPL	B	N	N	C	P	L	0.0	0.0	1268.0	0.0
BNNCDS	B	N	N	C	D	S	0.0	0.0	0.0	84.0
BNNCDP	B	N	N	C	D	P	0.0	0.0	0.0	77.0
BNNCDM	B	N	N	C	D	M	0.0	0.0	0.0	540.0
BNNCDL	B	N	N	C	D	L	0.0	0.0	0.0	1725.0
BNNCWS	B	N	N	C	W	S	0.0	0.0	0.0	107.0
BNNCWP	B	N	N	C	W	P	0.0	0.0	0.0	310.0
BNNCWM	B	N	N	C	W	M	0.0	0.0	0.0	1664.0
BNNCWL	B	N	N	C	W	L	0.0	0.0	0.0	4299.0
BNNCCS	B	N	N	C	C	S	0.0	97.0	0.0	0.0
BNNCCP	B	N	N	C	C	P	0.0	651.0	0.0	0.0
BNNCCM	B	N	N	C	C	M	0.0	1353.0	0.0	0.0
BNNCCL	B	N	N	C	C	L	0.0	4121.0	0.0	0.0
BNNCIM	B	N	N	C	I	M	0.0	61.0	0.0	0.0
BNNCIL	B	N	N	C	I	L	0.0	247.0	0.0	0.0
