Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Methods for Implementation	
BNSHIL	B	N	S	H	I	L	57	This strata is in the model, all methods are allowed	
BNSHLL	B	N	S	H	L	L	104	This strata is in the model, all methods are allowed	
BNSHNN	B	N	S	H	N	N	67	This strata is in the model, all methods are allowed	
BNSHWL	B	N	S	H	W	L	974	This strata is in the model, all methods are allowed	
BNSHWM	B	N	S	H	W	M	206	This strata is in the model, all methods are allowed	
BNSHWP	B	N	S	H	W	P	113	This strata is in the model, all methods are allowed	
BNSHWS	B	N	S	H	W	S	215	This strata is in the model, all methods are allowed	
BNSRCL	B	N	S	R	C	L	8882	This strata is in the model, all methods are allowed	
BNSRCM	B	N	S	R	C	M	1847	This strata is in the model, all methods are allowed	
BNSRCP	B	N	S	R	C	P	453	This strata is in the model, all methods are allowed	
BNSRCS	B	N	S	R	C	S	183	This strata is in the model, all methods are allowed	
BNSRDL	B	N	S	R	D	L	495	This strata is in the model, all methods are allowed	
BNSRDM	B	N	S	R	D	M	211	This strata is in the model, all methods are allowed	
BNSRDP	B	N	S	R	D	P	80	This strata is in the model, all methods are allowed	
BNSRDS	B	N	S	R	D	S	66	This strata is in the model, all methods are allowed	
BNSRLL	B	N	S	R	L	L	88	This strata is in the model, all methods are allowed	
BNSRNN	B	N	S	R	N	N	811	This strata is in the model, all methods are allowed	
BNSRPL	B	N	S	R	P	L	645	This strata is in the model, all methods are allowed	
BNSRPP	B	N	S	R	P	P	56	This strata is in the model, all methods are allowed	
BNSRWL	B	N	S	R	W	L	5031	This strata is in the model, all methods are allowed	
BNSRWM	B	N	S	R	W	M	801	This strata is in the model, all methods are allowed	
BNSRWP	B	N	S	R	W	P	657	This strata is in the model, all methods are allowed	
BNSRWS	B	N	S	R	W	S	545	This strata is in the model, all methods are allowed	
BRNCAL	B	R	N	C	A	L	137	This strata is in the model, all methods are allowed	
BRNCAM	B	R	N	C	A	M	113	This strata is in the model, all methods are allowed	
BRNCCL	B	R	N	C	C	L	4702	This strata is in the model, all methods are allowed	
BRNCCM	B	R	N	C	C	M	987	This strata is in the model, all methods are allowed	
BRNCCP	B	R	N	C	C	P	194	This strata is in the model, all methods are allowed	
BRNCCS	B	R	N	C	C	S	104	This strata is in the model, all methods are allowed	
BRNCDL	B	R	N	C	D	L	542	This strata is in the model, all methods are allowed	
BRNCDM	B	R	N	C	D	M	377	This strata is in the model, all methods are allowed	
BRNCDP	B	R	N	C	D	P	56	This strata is in the model, all methods are allowed	
BRNCIL	B	R	N	C	I	L	239	This strata is in the model, all methods are allowed	
BRNCIM	B	R	N	C	I	M	79	This strata is in the model, all methods are allowed	
BRNCLL	B	R	N	C	L	L	140	This strata is in the model, all methods are allowed	
BRNCLM	B	R	N	C	L	M	161	This strata is in the model, all methods are allowed	
BRNCNN	B	R	N	C	N	N	1412	This strata is in the model, all methods are allowed	
BRNCPL	B	R	N	C	P	L	837	This strata is in the model, all methods are allowed	
BRNCPM	B	R	N	C	P	M	442	This strata is in the model, all methods are allowed	
BRNCPP	B	R	N	C	P	P	55	This strata is in the model, all methods are allowed	
BRNCWL	B	R	N	C	W	L	3076	This strata is in the model, all methods are allowed	
BRNCWM	B	R	N	C	W	M	1750	This strata is in the model, all methods are allowed	
BRNCWP	B	R	N	C	W	P	260	This strata is in the model, all methods are allowed	
BRNCWS	B	R	N	C	W	S	163	This strata is in the model, all methods are allowed	
BRNHAM	B	R	N	H	A	M	57	This strata is in the model, all methods are allowed	
BRNHCL	B	R	N	H	C	L	1019	This strata is in the model, all methods are allowed	
BRNHCM	B	R	N	H	C	M	509	This strata is in the model, all methods are allowed	
BRNHCP	B	R	N	H	C	P	58	This strata is in the model, all methods are allowed	
BRNHLM	B	R	N	H	L	M	118	This strata is in the model, all methods are allowed	
BRNHWL	B	R	N	H	W	L	706	This strata is in the model, all methods are allowed	
BRNHWM	B	R	N	H	W	M	409	This strata is in the model, all methods are allowed	
BRNHWP	B	R	N	H	W	P	129	This strata is in the model, all methods are allowed	
BRNLAL	B	R	N	L	A	L	310	This strata is in the model, all methods are allowed	
BRNLAM	B	R	N	L	A	M	195	This strata is in the model, all methods are allowed	
BRNLCL	B	R	N	L	C	L	1571	This strata is in the model, all methods are allowed	
BRNLCM	B	R	N	L	C	M	761	This strata is in the model, all methods are allowed	
BRNLCP	B	R	N	L	C	P	80	This strata is in the model, all methods are allowed	
BRNLDL	B	R	N	L	D	L	61	This strata is in the model, all methods are allowed	
BRNLDM	B	R	N	L	D	M	107	This strata is in the model, all methods are allowed	
BRNLIL	B	R	N	L	I	L	113	This strata is in the model, all methods are allowed	
BRNLIM	B	R	N	L	I	M	112	This strata is in the model, all methods are allowed	
BRNLLM	B	R	N	L	L	M	67	This strata is in the model, all methods are allowed	
BRNLNN	B	R	N	L	N	N	779	This strata is in the model, all methods are allowed	
BRNLWL	B	R	N	L	W	L	1333	This strata is in the model, all methods are allowed	
BRNLWM	B	R	N	L	W	M	938	This strata is in the model, all methods are allowed	
BRNLWP	B	R	N	L	W	P	106	This strata is in the model, all methods are allowed	
BRNRAL	B	R	N	R	A	L	79	This strata is in the model, all methods are allowed	
BRNRCL	B	R	N	R	C	L	2381	This strata is in the model, all methods are allowed	
BRNRCM	B	R	N	R	C	M	760	This strata is in the model, all methods are allowed	
BRNRCP	B	R	N	R	C	P	111	This strata is in the model, all methods are allowed	
BRNRDL	B	R	N	R	D	L	314	This strata is in the model, all methods are allowed	
BRNRDM	B	R	N	R	D	M	120	This strata is in the model, all methods are allowed	
BRNRLL	B	R	N	R	L	L	56	This strata is in the model, all methods are allowed	
BRNRNN	B	R	N	R	N	N	1135	This strata is in the model, all methods are allowed	
BRNRPL	B	R	N	R	P	L	68	This strata is in the model, all methods are allowed	
BRNRPM	B	R	N	R	P	M	136	This strata is in the model, all methods are allowed	
BRNRWL	B	R	N	R	W	L	1929	This strata is in the model, all methods are allowed	
BRNRWM	B	R	N	R	W	M	606	This strata is in the model, all methods are allowed	
BRNRWP	B	R	N	R	W	P	128	This strata is in the model, all methods are allowed	
BRNRWS	B	R	N	R	W	S	61	This strata is in the model, all methods are allowed	
BROCCL	B	R	O	C	C	L	311	This strata is in the model, all methods are allowed	
BROCCM	B	R	O	C	C	M	51	This strata is in the model, all methods are allowed	
BROCCS	B	R	O	C	C	S	78	This strata is in the model, all methods are allowed	
BROCDL	B	R	O	C	D	L	128	This strata is in the model, all methods are allowed	
BROCPL	B	R	O	C	P	L	83	This strata is in the model, all methods are allowed	
BROCWL	B	R	O	C	W	L	335	This strata is in the model, all methods are allowed	
BROCWM	B	R	O	C	W	M	66	This strata is in the model, all methods are allowed	
BROHCL	B	R	O	H	C	L	168	This strata is in the model, all methods are allowed	
BROLCL	B	R	O	L	C	L	65	This strata is in the model, all methods are allowed	
BRORCL	B	R	O	R	C	L	1611	This strata is in the model, all methods are allowed	
BRORCM	B	R	O	R	C	M	360	This strata is in the model, all methods are allowed	
BRORCP	B	R	O	R	C	P	70	This strata is in the model, all methods are allowed	
BRORCS	B	R	O	R	C	S	58	This strata is in the model, all methods are allowed	
BRORDL	B	R	O	R	D	L	248	This strata is in the model, all methods are allowed	
BRORNN	B	R	O	R	N	N	86	This strata is in the model, all methods are allowed	
BRORPL	B	R	O	R	P	L	82	This strata is in the model, all methods are allowed	
BRORWL	B	R	O	R	W	L	1268	This strata is in the model, all methods are allowed	
BRORWM	B	R	O	R	W	M	246	This strata is in the model, all methods are allowed	
BRORWP	B	R	O	R	W	P	63	This strata is in the model, all methods are allowed	
BRORWS	B	R	O	R	W	S	60	This strata is in the model, all methods are allowed	
BRPCAL	B	R	P	C	A	L	86	This strata is in the model, all methods are allowed	
BRPCAS	B	R	P	C	A	S	77	This strata is in the model, all methods are allowed	
BRPCCL	B	R	P	C	C	L	1056	This strata is in the model, all methods are allowed	
BRPCCM	B	R	P	C	C	M	219	This strata is in the model, all methods are allowed	
BRPCCP	B	R	P	C	C	P	64	This strata is in the model, all methods are allowed	
BRPCCS	B	R	P	C	C	S	392	This strata is in the model, all methods are allowed	
BRPCDL	B	R	P	C	D	L	217	This strata is in the model, all methods are allowed	
BRPCDS	B	R	P	C	D	S	67	This strata is in the model, all methods are allowed	
BRPCIL	B	R	P	C	I	L	167	This strata is in the model, all methods are allowed	
BRPCIS	B	R	P	C	I	S	61	This strata is in the model, all methods are allowed	
BRPCNN	B	R	P	C	N	N	123	This strata is in the model, all methods are allowed	
BRPCPL	B	R	P	C	P	L	293	This strata is in the model, all methods are allowed	
BRPCPS	B	R	P	C	P	S	53	This strata is in the model, all methods are allowed	
BRPCWL	B	R	P	C	W	L	1167	This strata is in the model, all methods are allowed	
BRPCWM	B	R	P	C	W	M	160	This strata is in the model, all methods are allowed	
BRPCWP	B	R	P	C	W	P	277	This strata is in the model, all methods are allowed	
BRPCWS	B	R	P	C	W	S	464	This strata is in the model, all methods are allowed	
BRPHCL	B	R	P	H	C	L	644	This strata is in the model, all methods are allowed	
BRPHCM	B	R	P	H	C	M	333	This strata is in the model, all methods are allowed	
BRPHLL	B	R	P	H	L	L	79	This strata is in the model, all methods are allowed	
BRPHWL	B	R	P	H	W	L	324	This strata is in the model, all methods are allowed	
BRPHWM	B	R	P	H	W	M	203	This strata is in the model, all methods are allowed	
BRPHWP	B	R	P	H	W	P	76	This strata is in the model, all methods are allowed	
BRPLAL	B	R	P	L	A	L	85	This strata is in the model, all methods are allowed	
BRPLAM	B	R	P	L	A	M	77	This strata is in the model, all methods are allowed	
BRPLCL	B	R	P	L	C	L	471	This strata is in the model, all methods are allowed	
BRPLCM	B	R	P	L	C	M	85	This strata is in the model, all methods are allowed	
BRPLCP	B	R	P	L	C	P	53	This strata is in the model, all methods are allowed	
BRPLCS	B	R	P	L	C	S	155	This strata is in the model, all methods are allowed	
BRPLIL	B	R	P	L	I	L	72	This strata is in the model, all methods are allowed	
BRPLWL	B	R	P	L	W	L	424	This strata is in the model, all methods are allowed	
BRPLWM	B	R	P	L	W	M	68	This strata is in the model, all methods are allowed	
BRPLWP	B	R	P	L	W	P	85	This strata is in the model, all methods are allowed	
BRPLWS	B	R	P	L	W	S	139	This strata is in the model, all methods are allowed	
BRPRAL	B	R	P	R	A	L	52	This strata is in the model, all methods are allowed	
BRPRCL	B	R	P	R	C	L	7588	This strata is in the model, all methods are allowed	
BRPRCM	B	R	P	R	C	M	2608	This strata is in the model, all methods are allowed	
BRPRCP	B	R	P	R	C	P	394	This strata is in the model, all methods are allowed	
BRPRCS	B	R	P	R	C	S	399	This strata is in the model, all methods are allowed	
