description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	45
Prism version when problem solved	PRISM ALPHA 1.0.29
Date & time problem solved	2018/02/19 - 10:39:43
Time reading (minutes & seconds)	1m4.41s
Time solving (minutes & seconds)	10.48s
Time writing (minutes & seconds)	13.14s
Total variables	566009
Total constraints	532299
Objective value	4.8102342768E8
