description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	44
Prism version when problem solved	PRISM ALPHA 1.2.06
Date & time problem solved	2019/06/20 - 12:10:43
Time reading (minutes & seconds)	1m45.91s
Time solving (minutes & seconds)	25.82s
Time writing (minutes & seconds)	22.48s
Total variables	831348
Total constraints	770064
Objective value	5183421.97
