description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Time reading (minutes & seconds)	4m44.35s
Time solving (minutes & seconds)	0m15.08s
Time writing (minutes & seconds)	0m1.34s
Total variables	541409
Total constraints	508056
Objective value	4.0216240433E8
