description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	85
Prism version when problem solved	PRISM ALPHA 1.1.07
Date & time problem solved	2018/05/26 - 02:29:28
Time reading (minutes & seconds)	3m43.47s
Time solving (minutes & seconds)	4m14.59s
Time writing (minutes & seconds)	17.6s
Total variables	1709169
Total constraints	1534876
Objective value	1.782069818E7
