var_id	var_name	var_value	var_reduced_cost	db_prescription	db_row_id	db_status
1522	xNG_E_B,N,S,H,W,M,2	205.588	0.0	W_M_NG_E_0	1	good
1523	xNG_E_B,N,S,H,W,M,3	205.17682399999998	0.0	W_M_NG_E_0	2	good
1524	xNG_E_B,N,S,H,W,M,4	204.76647035199997	0.0	W_M_NG_E_0	3	good
1525	xNG_E_B,N,S,H,W,M,5	204.35693741129597	0.0	W_M_NG_E_0	4	good
1556	xNG_E_B,R,N,H,A,M,1	57.0	0.0	A_M_NG_E_0	0	good
1557	xNG_E_B,R,N,H,A,M,2	56.886	0.0	A_M_NG_E_0	1	good
1558	xNG_E_B,R,N,H,A,M,3	56.772228000000005	0.0	A_M_NG_E_0	2	good
1559	xNG_E_B,R,N,H,A,M,4	56.658683544000006	0.0	A_M_NG_E_0	3	good
1560	xNG_E_B,R,N,H,A,M,5	56.545366176912005	0.0	A_M_NG_E_0	4	good
1601	xNG_E_B,R,N,L,A,M,1	195.0	0.0	A_M_NG_E_0	0	good
1602	xNG_E_B,R,N,L,A,M,2	194.61	0.0	A_M_NG_E_0	1	good
1603	xNG_E_B,R,N,L,A,M,3	194.22078000000002	0.0	A_M_NG_E_0	2	good
1604	xNG_E_B,R,N,L,A,M,4	193.83233844000003	0.0	A_M_NG_E_0	3	good
1605	xNG_E_B,R,N,L,A,M,5	193.44467376312002	0.0	A_M_NG_E_0	4	good
1626	xNG_E_B,R,N,L,D,M,1	107.0	0.0	D_M_NG_E_0	0	good
1627	xNG_E_B,R,N,L,D,M,2	106.786	0.0	D_M_NG_E_0	1	good
1628	xNG_E_B,R,N,L,D,M,3	106.572428	0.0	D_M_NG_E_0	2	good
1629	xNG_E_B,R,N,L,D,M,4	106.359283144	0.0	D_M_NG_E_0	3	good
1630	xNG_E_B,R,N,L,D,M,5	106.146564577712	0.0	D_M_NG_E_0	4	good
1636	xNG_E_B,R,N,L,I,M,1	112.0	0.0	I_M_NG_E_0	0	good
1637	xNG_E_B,R,N,L,I,M,2	111.776	0.0	I_M_NG_E_0	1	good
1638	xNG_E_B,R,N,L,I,M,3	111.552448	0.0	I_M_NG_E_0	2	good
1639	xNG_E_B,R,N,L,I,M,4	111.329343104	0.0	I_M_NG_E_0	3	good
1640	xNG_E_B,R,N,L,I,M,5	111.106684417792	0.0	I_M_NG_E_0	4	good
1656	xNG_E_B,R,N,L,W,P,1	106.0	0.0	W_P_NG_E_0	0	good
1657	xNG_E_B,R,N,L,W,P,2	105.788	0.0	W_P_NG_E_0	1	good
1658	xNG_E_B,R,N,L,W,P,3	105.576424	0.0	W_P_NG_E_0	2	good
1659	xNG_E_B,R,N,L,W,P,4	105.365271152	0.0	W_P_NG_E_0	3	good
1660	xNG_E_B,R,N,L,W,P,5	105.154540609696	0.0	W_P_NG_E_0	4	good
1671	xNG_E_B,R,N,R,C,M,1	760.0	0.0	C_M_NG_E_0	0	good
1672	xNG_E_B,R,N,R,C,M,2	758.48	0.0	C_M_NG_E_0	1	good
1673	xNG_E_B,R,N,R,C,M,3	756.96304	0.0	C_M_NG_E_0	2	good
1674	xNG_E_B,R,N,R,C,M,4	755.44911392	0.0	C_M_NG_E_0	3	good
1675	xNG_E_B,R,N,R,C,M,5	753.9382156921599	0.0	C_M_NG_E_0	4	good
1696	xNG_E_B,R,N,R,P,L,1	68.0	0.0	P_L_NG_E_0	0	good
1697	xNG_E_B,R,N,R,P,L,2	67.864	0.0	P_L_NG_E_0	1	good
1698	xNG_E_B,R,N,R,P,L,3	67.728272	0.0	P_L_NG_E_0	2	good
1699	xNG_E_B,R,N,R,P,L,4	67.59281545600001	0.0	P_L_NG_E_0	3	good
1700	xNG_E_B,R,N,R,P,L,5	67.457629825088	0.0	P_L_NG_E_0	4	good
1701	xNG_E_B,R,N,R,P,M,1	136.0	0.0	P_M_NG_E_0	0	good
1702	xNG_E_B,R,N,R,P,M,2	135.728	0.0	P_M_NG_E_0	1	good
1703	xNG_E_B,R,N,R,P,M,3	135.456544	0.0	P_M_NG_E_0	2	good
1704	xNG_E_B,R,N,R,P,M,4	135.18563091200002	0.0	P_M_NG_E_0	3	good
1705	xNG_E_B,R,N,R,P,M,5	134.915259650176	0.0	P_M_NG_E_0	4	good
1711	xNG_E_B,R,N,R,W,M,1	606.0	0.0	W_M_NG_E_0	0	good
1712	xNG_E_B,R,N,R,W,M,2	604.788	0.0	W_M_NG_E_0	1	good
1713	xNG_E_B,R,N,R,W,M,3	603.578424	0.0	W_M_NG_E_0	2	good
1714	xNG_E_B,R,N,R,W,M,4	602.3712671520001	0.0	W_M_NG_E_0	3	good
1715	xNG_E_B,R,N,R,W,M,5	601.166524617696	0.0	W_M_NG_E_0	4	good
1736	xNG_E_B,R,O,C,C,S,1	78.0	0.0	C_S_NG_E_0	0	good
1737	xNG_E_B,R,O,C,C,S,2	77.844	0.0	C_S_NG_E_0	1	good
1738	xNG_E_B,R,O,C,C,S,3	77.688312	0.0	C_S_NG_E_0	2	good
1739	xNG_E_B,R,O,C,C,S,4	77.532935376	0.0	C_S_NG_E_0	3	good
1740	xNG_E_B,R,O,C,C,S,5	77.377869505248	0.0	C_S_NG_E_0	4	good
1746	xNG_E_B,R,O,C,P,L,1	83.0	0.0	P_L_NG_E_0	0	good
1747	xNG_E_B,R,O,C,P,L,2	82.834	0.0	P_L_NG_E_0	1	good
1748	xNG_E_B,R,O,C,P,L,3	82.668332	0.0	P_L_NG_E_0	2	good
1749	xNG_E_B,R,O,C,P,L,4	82.50299533600001	0.0	P_L_NG_E_0	3	good
1750	xNG_E_B,R,O,C,P,L,5	82.33798934532801	0.0	P_L_NG_E_0	4	good
1756	xNG_E_B,R,O,C,W,M,1	66.0	0.0	W_M_NG_E_0	0	good
1757	xNG_E_B,R,O,C,W,M,2	65.868	0.0	W_M_NG_E_0	1	good
1758	xNG_E_B,R,O,C,W,M,3	65.73626399999999	0.0	W_M_NG_E_0	2	good
1759	xNG_E_B,R,O,C,W,M,4	65.60479147199999	0.0	W_M_NG_E_0	3	good
1760	xNG_E_B,R,O,C,W,M,5	65.47358188905599	0.0	W_M_NG_E_0	4	good
1761	xNG_E_B,R,O,H,C,L,1	168.0	0.0	C_L_NG_E_0	0	good
1762	xNG_E_B,R,O,H,C,L,2	167.664	0.0	C_L_NG_E_0	1	good
1763	xNG_E_B,R,O,H,C,L,3	167.32867199999998	0.0	C_L_NG_E_0	2	good
1764	xNG_E_B,R,O,H,C,L,4	166.994014656	0.0	C_L_NG_E_0	3	good
1765	xNG_E_B,R,O,H,C,L,5	166.660026626688	0.0	C_L_NG_E_0	4	good
1796	xNG_E_B,R,O,R,P,L,1	82.0	0.0	P_L_NG_E_0	0	good
1797	xNG_E_B,R,O,R,P,L,2	81.836	0.0	P_L_NG_E_0	1	good
1798	xNG_E_B,R,O,R,P,L,3	81.672328	0.0	P_L_NG_E_0	2	good
1799	xNG_E_B,R,O,R,P,L,4	81.50898334399999	0.0	P_L_NG_E_0	3	good
1800	xNG_E_B,R,O,R,P,L,5	81.34596537731198	0.0	P_L_NG_E_0	4	good
1806	xNG_E_B,R,O,R,W,M,1	246.0	0.0	W_M_NG_E_0	0	good
1807	xNG_E_B,R,O,R,W,M,2	245.508	0.0	W_M_NG_E_0	1	good
1808	xNG_E_B,R,O,R,W,M,3	245.016984	0.0	W_M_NG_E_0	2	good
1809	xNG_E_B,R,O,R,W,M,4	244.526950032	0.0	W_M_NG_E_0	3	good
1810	xNG_E_B,R,O,R,W,M,5	244.037896131936	0.0	W_M_NG_E_0	4	good
1871	xNG_E_B,R,P,C,P,L,1	293.0	0.0	P_L_NG_E_0	0	good
1872	xNG_E_B,R,P,C,P,L,2	292.414	0.0	P_L_NG_E_0	1	good
1873	xNG_E_B,R,P,C,P,L,3	291.82917199999997	0.0	P_L_NG_E_0	2	good
1874	xNG_E_B,R,P,C,P,L,4	291.24551365599996	0.0	P_L_NG_E_0	3	good
1875	xNG_E_B,R,P,C,P,L,5	290.66302262868794	0.0	P_L_NG_E_0	4	good
1886	xNG_E_B,R,P,C,W,M,1	160.0	0.0	W_M_NG_E_0	0	good
1887	xNG_E_B,R,P,C,W,M,2	159.68	0.0	W_M_NG_E_0	1	good
1888	xNG_E_B,R,P,C,W,M,3	159.36064000000002	0.0	W_M_NG_E_0	2	good
1889	xNG_E_B,R,P,C,W,M,4	159.04191872	0.0	W_M_NG_E_0	3	good
1890	xNG_E_B,R,P,C,W,M,5	158.72383488256	0.0	W_M_NG_E_0	4	good
1921	xNG_E_B,R,P,H,W,M,1	203.0	0.0	W_M_NG_E_0	0	good
1922	xNG_E_B,R,P,H,W,M,2	202.594	0.0	W_M_NG_E_0	1	good
1923	xNG_E_B,R,P,H,W,M,3	202.18881199999998	0.0	W_M_NG_E_0	2	good
1924	xNG_E_B,R,P,H,W,M,4	201.78443437599998	0.0	W_M_NG_E_0	3	good
1925	xNG_E_B,R,P,H,W,M,5	201.380865507248	0.0	W_M_NG_E_0	4	good
1981	xNG_E_U,N,S,R,P,L,1	78.0	0.0	P_L_NG_E_0	0	good
1982	xNG_E_U,N,S,R,P,L,2	77.844	0.0	P_L_NG_E_0	1	good
1983	xNG_E_U,N,S,R,P,L,3	77.688312	0.0	P_L_NG_E_0	2	good
1984	xNG_E_U,N,S,R,P,L,4	77.532935376	0.0	P_L_NG_E_0	3	good
1985	xNG_E_U,N,S,R,P,L,5	77.377869505248	0.0	P_L_NG_E_0	4	good
1991	xNG_E_U,N,S,R,W,M,1	332.0	0.0	W_M_NG_E_0	0	good
1992	xNG_E_U,N,S,R,W,M,2	331.336	0.0	W_M_NG_E_0	1	good
1993	xNG_E_U,N,S,R,W,M,3	330.673328	0.0	W_M_NG_E_0	2	good
1994	xNG_E_U,N,S,R,W,M,4	330.01198134400005	0.0	W_M_NG_E_0	3	good
1995	xNG_E_U,N,S,R,W,M,5	329.35195738131205	0.0	W_M_NG_E_0	4	good
2121	xPB_E_B,N,N,C,C,L,4,1	4121.0	0.0	C_L_PB_E_4	0	good
2122	xPB_E_B,N,N,C,C,L,4,2	4112.758	0.0	C_L_PB_E_4	1	good
2123	xPB_E_B,N,N,C,C,L,4,3	4104.532483999999	0.0	C_L_PB_E_4	2	good
2124	xPB_E_B,N,N,C,C,L,4,4	4096.323419031999	0.0	C_L_PB_E_4	3	good
2125	xPB_E_B,N,N,C,C,L,4,5	4088.130772193935	0.0	C_L_PB_E_4	4	good
2136	xPB_E_B,N,N,C,C,M,2,1	1353.0	0.0	C_M_PB_E_2	0	good
2137	xPB_E_B,N,N,C,C,M,2,2	1350.294	0.0	C_M_PB_E_2	1	good
2138	xPB_E_B,N,N,C,C,M,2,3	1347.5934120000002	0.0	C_M_PB_E_2	2	good
2139	xPB_E_B,N,N,C,C,M,2,4	1344.898225176	0.0	C_M_PB_E_2	3	good
2140	xPB_E_B,N,N,C,C,M,2,5	1342.208428725648	0.0	C_M_PB_E_2	4	good
2191	xPB_E_B,N,N,C,C,S,3,1	97.0	0.0	C_S_PB_E_3	0	good
2192	xPB_E_B,N,N,C,C,S,3,2	96.806	0.0	C_S_PB_E_3	1	good
2193	xPB_E_B,N,N,C,C,S,3,3	96.612388	0.0	C_S_PB_E_3	2	good
2194	xPB_E_B,N,N,C,C,S,3,4	96.419163224	0.0	C_S_PB_E_3	3	good
2195	xPB_E_B,N,N,C,C,S,3,5	96.226324897552	0.0	C_S_PB_E_3	4	good
2251	xPB_E_B,N,N,C,D,S,0,1	84.0	0.0	D_S_PB_E_0	0	good
2252	xPB_E_B,N,N,C,D,S,0,2	83.832	0.0	D_S_PB_E_0	1	good
2253	xPB_E_B,N,N,C,D,S,0,3	83.66433599999999	0.0	D_S_PB_E_0	2	good
2254	xPB_E_B,N,N,C,D,S,0,4	83.497007328	0.0	D_S_PB_E_0	3	good
2255	xPB_E_B,N,N,C,D,S,0,5	83.330013313344	0.0	D_S_PB_E_0	4	good
2291	xPB_E_B,N,N,C,I,L,3,1	247.0	0.0	I_L_PB_E_3	0	good
2292	xPB_E_B,N,N,C,I,L,3,2	246.506	0.0	I_L_PB_E_3	1	good
2293	xPB_E_B,N,N,C,I,L,3,3	246.012988	0.0	I_L_PB_E_3	2	good
2294	xPB_E_B,N,N,C,I,L,3,4	245.520962024	0.0	I_L_PB_E_3	3	good
2295	xPB_E_B,N,N,C,I,L,3,5	245.029920099952	0.0	I_L_PB_E_3	4	good
2301	xPB_E_B,N,N,C,I,M,0,1	61.0	0.0	I_M_PB_E_0	0	good
2302	xPB_E_B,N,N,C,I,M,0,2	60.878	0.0	I_M_PB_E_0	1	good
2303	xPB_E_B,N,N,C,I,M,0,3	60.756244	0.0	I_M_PB_E_0	2	good
2304	xPB_E_B,N,N,C,I,M,0,4	60.634731512	0.0	I_M_PB_E_0	3	good
2305	xPB_E_B,N,N,C,I,M,0,5	60.513462048976	0.0	I_M_PB_E_0	4	good
2506	xPB_E_B,N,N,C,W,S,1,1	107.0	0.0	W_S_PB_E_1	0	good
2507	xPB_E_B,N,N,C,W,S,1,2	106.786	0.0	W_S_PB_E_1	1	good
2508	xPB_E_B,N,N,C,W,S,1,3	106.572428	0.0	W_S_PB_E_1	2	good
2509	xPB_E_B,N,N,C,W,S,1,4	106.359283144	0.0	W_S_PB_E_1	3	good
2510	xPB_E_B,N,N,C,W,S,1,5	106.146564577712	0.0	W_S_PB_E_1	4	good
2546	xPB_E_B,N,N,H,C,L,4,1	71.0	0.0	C_L_PB_E_4	0	good
2547	xPB_E_B,N,N,H,C,L,4,2	70.858	0.0	C_L_PB_E_4	1	good
2548	xPB_E_B,N,N,H,C,L,4,3	70.716284	0.0	C_L_PB_E_4	2	good
2549	xPB_E_B,N,N,H,C,L,4,4	70.574851432	0.0	C_L_PB_E_4	3	good
2550	xPB_E_B,N,N,H,C,L,4,5	70.433701729136	0.0	C_L_PB_E_4	4	good
2556	xPB_E_B,N,N,L,A,L,1,1	378.0	0.0	A_L_PB_E_1	0	good
2557	xPB_E_B,N,N,L,A,L,1,2	377.24399999999997	0.0	A_L_PB_E_1	1	good
2558	xPB_E_B,N,N,L,A,L,1,3	376.489512	0.0	A_L_PB_E_1	2	good
2559	xPB_E_B,N,N,L,A,L,1,4	375.736532976	0.0	A_L_PB_E_1	3	good
2560	xPB_E_B,N,N,L,A,L,1,5	374.985059910048	0.0	A_L_PB_E_1	4	good
2596	xPB_E_B,N,N,L,A,M,4,1	157.0	0.0	A_M_PB_E_4	0	good
2597	xPB_E_B,N,N,L,A,M,4,2	156.686	0.0	A_M_PB_E_4	1	good
2598	xPB_E_B,N,N,L,A,M,4,3	156.37262800000002	0.0	A_M_PB_E_4	2	good
2599	xPB_E_B,N,N,L,A,M,4,4	156.05988274400002	0.0	A_M_PB_E_4	3	good
2600	xPB_E_B,N,N,L,A,M,4,5	155.74776297851201	0.0	A_M_PB_E_4	4	good
2646	xPB_E_B,N,N,L,C,L,4,1	1396.0	0.0	C_L_PB_E_4	0	good
2647	xPB_E_B,N,N,L,C,L,4,2	1393.208	0.0	C_L_PB_E_4	1	good
2648	xPB_E_B,N,N,L,C,L,4,3	1390.4215840000002	0.0	C_L_PB_E_4	2	good
2649	xPB_E_B,N,N,L,C,L,4,4	1387.6407408320001	0.0	C_L_PB_E_4	3	good
2650	xPB_E_B,N,N,L,C,L,4,5	1384.865459350336	0.0	C_L_PB_E_4	4	good
2661	xPB_E_B,N,N,L,C,M,2,1	396.0	0.0	C_M_PB_E_2	0	good
2662	xPB_E_B,N,N,L,C,M,2,2	395.208	0.0	C_M_PB_E_2	1	good
2663	xPB_E_B,N,N,L,C,M,2,3	394.41758400000003	0.0	C_M_PB_E_2	2	good
2664	xPB_E_B,N,N,L,C,M,2,4	393.62874883200004	0.0	C_M_PB_E_2	3	good
2665	xPB_E_B,N,N,L,C,M,2,5	392.84149133433607	0.0	C_M_PB_E_2	4	good
2691	xPB_E_B,N,N,L,C,S,3,1	100.0	0.0	C_S_PB_E_3	0	good
2692	xPB_E_B,N,N,L,C,S,3,2	99.8	0.0	C_S_PB_E_3	1	good
2693	xPB_E_B,N,N,L,C,S,3,3	99.6004	0.0	C_S_PB_E_3	2	good
2694	xPB_E_B,N,N,L,C,S,3,4	99.4011992	0.0	C_S_PB_E_3	3	good
2695	xPB_E_B,N,N,L,C,S,3,5	99.20239680159999	0.0	C_S_PB_E_3	4	good
2731	xPB_E_B,N,N,L,I,L,1,1	242.0	0.0	I_L_PB_E_1	0	good
2732	xPB_E_B,N,N,L,I,L,1,2	241.516	0.0	I_L_PB_E_1	1	good
2733	xPB_E_B,N,N,L,I,L,1,3	241.03296799999998	0.0	I_L_PB_E_1	2	good
2734	xPB_E_B,N,N,L,I,L,1,4	240.55090206399998	0.0	I_L_PB_E_1	3	good
2735	xPB_E_B,N,N,L,I,L,1,5	240.06980025987198	0.0	I_L_PB_E_1	4	good
2751	xPB_E_B,N,N,L,I,M,0,1	217.0	0.0	I_M_PB_E_0	0	good
2752	xPB_E_B,N,N,L,I,M,0,2	216.566	0.0	I_M_PB_E_0	1	good
2753	xPB_E_B,N,N,L,I,M,0,3	216.132868	0.0	I_M_PB_E_0	2	good
2754	xPB_E_B,N,N,L,I,M,0,4	215.700602264	0.0	I_M_PB_E_0	3	good
2755	xPB_E_B,N,N,L,I,M,0,5	215.269201059472	0.0	I_M_PB_E_0	4	good
2931	xPB_E_B,N,N,L,W,S,1,1	75.0	0.0	W_S_PB_E_1	0	good
2932	xPB_E_B,N,N,L,W,S,1,2	74.85	0.0	W_S_PB_E_1	1	good
2933	xPB_E_B,N,N,L,W,S,1,3	74.7003	0.0	W_S_PB_E_1	2	good
2934	xPB_E_B,N,N,L,W,S,1,4	74.55089939999999	0.0	W_S_PB_E_1	3	good
2935	xPB_E_B,N,N,L,W,S,1,5	74.40179760119999	0.0	W_S_PB_E_1	4	good
2971	xPB_E_B,N,N,R,C,L,4,1	1707.0	0.0	C_L_PB_E_4	0	good
2972	xPB_E_B,N,N,R,C,L,4,2	1703.586	0.0	C_L_PB_E_4	1	good
2973	xPB_E_B,N,N,R,C,L,4,3	1700.178828	0.0	C_L_PB_E_4	2	good
2974	xPB_E_B,N,N,R,C,L,4,4	1696.778470344	0.0	C_L_PB_E_4	3	good
2975	xPB_E_B,N,N,R,C,L,4,5	1693.3849134033119	0.0	C_L_PB_E_4	4	good
2986	xPB_E_B,N,N,R,C,M,2,1	355.0	0.0	C_M_PB_E_2	0	good
2987	xPB_E_B,N,N,R,C,M,2,2	354.29	0.0	C_M_PB_E_2	1	good
2988	xPB_E_B,N,N,R,C,M,2,3	353.58142000000004	0.0	C_M_PB_E_2	2	good
2989	xPB_E_B,N,N,R,C,M,2,4	352.87425716	0.0	C_M_PB_E_2	3	good
2990	xPB_E_B,N,N,R,C,M,2,5	352.16850864568	0.0	C_M_PB_E_2	4	good
3131	xPB_E_B,N,O,H,C,L,1,1	675.0	0.0	C_L_PB_E_1	0	good
3132	xPB_E_B,N,O,H,C,L,1,2	673.65	0.0	C_L_PB_E_1	1	good
3133	xPB_E_B,N,O,H,C,L,1,3	672.3027	0.0	C_L_PB_E_1	2	good
3134	xPB_E_B,N,O,H,C,L,1,4	670.9580946	0.0	C_L_PB_E_1	3	good
3135	xPB_E_B,N,O,H,C,L,1,5	669.6161784108	0.0	C_L_PB_E_1	4	good
3161	xPB_E_B,N,O,H,C,M,2,1	133.0	0.0	C_M_PB_E_2	0	good
