description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Prism version when problem solved	PRISM ALPHA 1.0.31
Date & time problem solved	2018/03/07 - 10:59:00
Time reading (minutes & seconds)	5m34.16s
Time solving (minutes & seconds)	18.92s
Time writing (minutes & seconds)	19.01s
Total variables	545220
Total constraints	506150
Objective value	9.2475675009E8
