Index	Name	Value	Reduced Cost
0	y_0	500000.0	0.0
1	y_1	500000.0	0.0
2	y_2	228677.54	0.0
3	y_3	3.1431986366E8	0.0
12	z_0	500000.0	0.0
14	x_B,R,N,L,D,M,1	103.79	0.0
17	x_B,R,N,L,D,M,4	3.21	0.0
20	x_B,R,N,L,D,L,2	59.17	0.0
22	x_B,R,N,L,D,L,4	1.83	0.0
23	x_B,R,N,L,W,P,0	102.82	0.0
27	x_B,R,N,L,W,P,4	3.18	0.0
30	x_B,R,N,L,W,M,2	909.86	0.0
32	x_B,R,N,L,W,M,4	28.14	0.0
33	x_B,R,N,L,W,L,0	1293.01	0.0
37	x_B,R,N,L,W,L,4	39.99	0.0
39	x_B,R,N,L,C,P,1	77.6	0.0
42	x_B,R,N,L,C,P,4	2.4	0.0
44	x_B,R,N,L,C,M,1	738.17	0.0
47	x_B,R,N,L,C,M,4	22.83	0.0
51	x_B,R,N,L,C,L,3	1523.87	0.0
52	x_B,R,N,L,C,L,4	47.13	0.0
54	x_B,R,N,L,I,M,1	108.64	0.0
57	x_B,R,N,L,I,M,4	3.36	0.0
60	x_B,R,N,L,I,L,2	109.61	0.0
62	x_B,R,N,L,I,L,4	3.39	0.0
63	x_B,R,N,L,A,M,0	189.15	0.0
67	x_B,R,N,L,A,M,4	5.85	0.0
68	x_B,R,N,L,A,L,0	300.7	0.0
72	x_B,R,N,L,A,L,4	9.3	0.0
73	x_B,R,N,L,L,M,0	63.65	0.0
77	x_B,R,N,L,L,M,4	3.35	0.0
78	x_B,R,N,H,W,P,0	125.13	0.0
82	x_B,R,N,H,W,P,4	3.87	0.0
83	x_B,R,N,H,W,M,0	396.73	0.0
87	x_B,R,N,H,W,M,4	12.27	0.0
89	x_B,R,N,H,W,L,1	684.82	0.0
92	x_B,R,N,H,W,L,4	21.18	0.0
93	x_B,R,N,H,C,P,0	56.26	0.0
97	x_B,R,N,H,C,P,4	1.74	0.0
99	x_B,R,N,H,C,M,1	493.73	0.0
102	x_B,R,N,H,C,M,4	15.27	0.0
103	x_B,R,N,H,C,L,0	988.43	0.0
107	x_B,R,N,H,C,L,4	30.57	0.0
109	x_B,R,N,H,A,M,1	55.29	0.0
112	x_B,R,N,H,A,M,4	1.71	0.0
114	x_B,R,N,H,L,M,1	112.1	0.0
117	x_B,R,N,H,L,M,4	5.9	0.0
121	x_B,R,N,C,P,M,3	428.74	0.0
122	x_B,R,N,C,P,M,4	13.26	0.0
126	x_B,R,N,C,P,L,3	811.89	0.0
127	x_B,R,N,C,P,L,4	25.11	0.0
130	x_B,R,N,C,D,M,2	365.69	0.0
132	x_B,R,N,C,D,M,4	11.31	0.0
135	x_B,R,N,C,D,L,2	525.74	0.0
137	x_B,R,N,C,D,L,4	16.26	0.0
139	x_B,R,N,C,W,S,1	158.11	0.0
142	x_B,R,N,C,W,S,4	4.89	0.0
143	x_B,R,N,C,W,P,0	252.2	0.0
147	x_B,R,N,C,W,P,4	7.8	0.0
148	x_B,R,N,C,W,M,0	1697.5	0.0
152	x_B,R,N,C,W,M,4	52.5	0.0
155	x_B,R,N,C,W,L,2	2983.72	0.0
157	x_B,R,N,C,W,L,4	92.28	0.0
158	x_B,R,N,C,C,S,0	100.88	0.0
162	x_B,R,N,C,C,S,4	3.12	0.0
163	x_B,R,N,C,C,P,0	188.18	0.0
167	x_B,R,N,C,C,P,4	5.82	0.0
169	x_B,R,N,C,C,M,1	957.39	0.0
172	x_B,R,N,C,C,M,4	29.61	0.0
175	x_B,R,N,C,C,L,2	4560.94	0.0
177	x_B,R,N,C,C,L,4	141.06	0.0
178	x_B,R,N,C,I,M,0	76.63	0.0
182	x_B,R,N,C,I,M,4	2.37	0.0
183	x_B,R,N,C,I,L,0	231.83	0.0
187	x_B,R,N,C,I,L,4	7.17	0.0
188	x_B,R,N,C,A,M,0	109.61	0.0
