description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	45
Prism version when problem solved	PRISM ALPHA 1.3.02
Date & time problem solved	2019/10/22 - 15:34:28
Time reading (minutes & seconds)	1m7.48s
Time solving (minutes & seconds)	20.11s
Time writing (minutes & seconds)	16.01s
Total variables	532434
Total constraints	492124
Objective value	9.2475675009E8
