iteration	description	value
8	Optimization solver	CPLEX
8	Solution status	Optimal
8	Solution algorithm	2
8	Simplex iterations	0
8	Prism version when problem solved	PRISM ALPHA 2.0.01
8	Date & time problem solved	2019/11/26 - 17:06:15
8	Time reading (minutes & seconds)	0.34s
8	Time solving (minutes & seconds)	0.02s
8	Time writing (minutes & seconds)	0.15s
8	Total variables	14378
8	Total constraints	11817
8	Objective value	0.0
