iteration	description	value
0	Optimization solver	CPLEX
0	Solution status	Optimal
0	Solution algorithm	2
0	Simplex iterations	0
0	Prism version when problem solved	PRISM ALPHA 2.0.01
0	Date & time problem solved	2019/11/26 - 17:06:09
0	Time reading (minutes & seconds)	0.86s
0	Time solving (minutes & seconds)	0.03s
0	Time writing (minutes & seconds)	0.23s
0	Total variables	5988
0	Total constraints	4847
0	Objective value	0.0
