iteration	description	value
5	Optimization solver	CPLEX
5	Solution status	Optimal
5	Solution algorithm	2
5	Simplex iterations	0
5	Prism version when problem solved	PRISM ALPHA 2.0.01
5	Date & time problem solved	2019/11/26 - 17:06:12
5	Time reading (minutes & seconds)	0.35s
5	Time solving (minutes & seconds)	0.03s
5	Time writing (minutes & seconds)	0.2s
5	Total variables	10544
5	Total constraints	8558
5	Objective value	0.0
