iteration	description	value
2	Optimization solver	CPLEX
2	Solution status	Optimal
2	Solution algorithm	2
2	Simplex iterations	0
2	Prism version when problem solved	PRISM ALPHA 2.0.01
2	Date & time problem solved	2019/11/26 - 17:06:11
2	Time reading (minutes & seconds)	0.34s
2	Time solving (minutes & seconds)	0.01s
2	Time writing (minutes & seconds)	0.23s
2	Total variables	8044
2	Total constraints	6494
2	Objective value	0.0
