iteration	description	value
9	Optimization solver	CPLEX
9	Solution status	Optimal
9	Solution algorithm	2
9	Simplex iterations	0
9	Prism version when problem solved	PRISM ALPHA 2.0.01
9	Date & time problem solved	2019/11/26 - 17:06:15
9	Time reading (minutes & seconds)	0.45s
9	Time solving (minutes & seconds)	0.02s
9	Time writing (minutes & seconds)	0.21s
9	Total variables	16022
9	Total constraints	13245
9	Objective value	0.0
