var_id	var_name	var_value	var_reduced_cost	percentage_SR_01	var_unit_management_cost	var_method	var_forest_status	var_layer1	var_layer2	var_layer3	var_layer4	var_layer5	var_layer6	var_choice	var_period	var_age	var_rotation_period	var_rotation_age	var_regen_covertype	data_connection	prescription	row_id
1	xNG_E_A_N_C_B_D_F_0_10	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	1	10				good	D_F_NG_E_0	9
2	xNG_E_A_N_C_B_D_F_0_11	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	2	11				good	D_F_NG_E_0	10
3	xNG_E_A_N_C_B_D_F_0_12	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	3	12				good	D_F_NG_E_0	11
4	xNG_E_A_N_C_B_D_F_0_13	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	4	13				good	D_F_NG_E_0	12
5	xNG_E_A_N_C_B_D_F_0_14	484.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	F	0	5	14				good	D_F_NG_E_0	13
6	xNG_E_A_N_C_B_D_G_0_10	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	1	10				good	D_G_NG_E_0	9
7	xNG_E_A_N_C_B_D_G_0_11	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	2	11				good	D_G_NG_E_0	10
8	xNG_E_A_N_C_B_D_G_0_12	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	3	12				good	D_G_NG_E_0	11
9	xNG_E_A_N_C_B_D_G_0_13	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	4	13				good	D_G_NG_E_0	12
10	xNG_E_A_N_C_B_D_G_0_14	20.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	G	0	5	14				good	D_G_NG_E_0	13
26	xNG_E_A_N_C_B_D_M_0_10	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	1	15				good	D_M_NG_E_0	9
27	xNG_E_A_N_C_B_D_M_0_11	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	2	16				good	D_M_NG_E_0	10
28	xNG_E_A_N_C_B_D_M_0_12	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	3	17				good	D_M_NG_E_0	11
29	xNG_E_A_N_C_B_D_M_0_13	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	4	18				good	D_M_NG_E_0	12
30	xNG_E_A_N_C_B_D_M_0_14	57.0	0.0	0.0	0.0	NG	E	A	N	C	B	D	M	0	5	19				good	D_M_NG_E_0	13
81	xNG_E_A_N_C_B_F_G_0_10	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	1	10				good	F_G_NG_E_0	9
82	xNG_E_A_N_C_B_F_G_0_11	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	2	11				good	F_G_NG_E_0	10
83	xNG_E_A_N_C_B_F_G_0_12	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	3	12				good	F_G_NG_E_0	11
84	xNG_E_A_N_C_B_F_G_0_13	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	4	13				good	F_G_NG_E_0	12
85	xNG_E_A_N_C_B_F_G_0_14	41.0	0.0	0.0	0.0	NG	E	A	N	C	B	F	G	0	5	14				good	F_G_NG_E_0	13
116	xNG_E_A_N_C_B_G_G_0_10	333.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	G	0	1	10				good	G_G_NG_E_0	9
117	xNG_E_A_N_C_B_G_G_0_11	333.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	G	0	2	11				good	G_G_NG_E_0	10
118	xNG_E_A_N_C_B_G_G_0_12	333.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	G	0	3	12				good	G_G_NG_E_0	11
119	xNG_E_A_N_C_B_G_G_0_13	333.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	G	0	4	13				good	G_G_NG_E_0	12
120	xNG_E_A_N_C_B_G_G_0_14	333.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	G	0	5	14				good	G_G_NG_E_0	13
121	xNG_E_A_N_C_B_G_I_0_10	160.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	I	0	1	12				good	G_I_NG_E_0	9
122	xNG_E_A_N_C_B_G_I_0_11	160.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	I	0	2	13				good	G_I_NG_E_0	10
123	xNG_E_A_N_C_B_G_I_0_12	160.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	I	0	3	14				good	G_I_NG_E_0	11
124	xNG_E_A_N_C_B_G_I_0_13	160.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	I	0	4	15				good	G_I_NG_E_0	12
125	xNG_E_A_N_C_B_G_I_0_14	160.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	I	0	5	16				good	G_I_NG_E_0	13
126	xNG_E_A_N_C_B_G_J_0_10	641.0	0.0	0.0	0.0	NG	E	A	N	C	B	G	J	0	1	12				good	G_J_NG_E_0	9
