index	name	value	reduced_cost
5	y_5	426931.9	0.0
6	y_6	371481.7	0.0
7	y_7	358431.46	0.0
8	y_8	288449.36	0.0
9	y_9	407870.21	0.0
10	y_10	80563.8	0.0
11	y_11	80402.67	0.0
12	y_12	75322.55	0.0
13	y_13	69108.48	0.0
14	y_14	173494.38	0.0
15	y_15	91193.35	0.0
16	y_16	91010.96	0.0
17	y_17	107927.79	0.0
18	y_18	119934.16	0.0
19	y_19	136363.86	0.0
20	l_0	100000.0	0.0
21	l_1	100000.0	0.0
22	l_2	100000.0	0.0
23	l_3	100000.0	0.0
24	l_4	100000.0	0.0
25	l_5	73068.1	0.0
26	l_6	128518.3	0.0
27	l_7	141568.54	0.0
28	l_8	211550.64	0.0
29	l_9	92129.79	0.0
30	l_10	419436.2	0.0
31	l_11	419597.33	0.0
32	l_12	424677.45	0.0
33	l_13	430891.52	0.0
34	l_14	326505.62	0.0
35	l_15	408806.65	0.0
36	l_16	408989.04	0.0
37	l_17	392072.21	0.0
38	l_18	380065.84	0.0
39	l_19	363636.14	0.0
62	x_B,R,N,L,D,M,2	101.65	0.0
64	x_B,R,N,L,D,M,4	5.35	0.0
68	x_B,R,N,L,D,L,3	57.95	0.0
69	x_B,R,N,L,D,L,4	3.05	0.0
70	x_B,R,N,L,W,P,0	100.7	0.0
74	x_B,R,N,L,W,P,4	5.3	0.0
77	x_B,R,N,L,W,M,2	891.1	0.0
79	x_B,R,N,L,W,M,4	46.9	0.0
83	x_B,R,N,L,W,L,3	1266.35	0.0
84	x_B,R,N,L,W,L,4	66.65	0.0
87	x_B,R,N,L,C,P,2	76.0	0.0
89	x_B,R,N,L,C,P,4	4.0	0.0
92	x_B,R,N,L,C,M,2	722.95	0.0
94	x_B,R,N,L,C,M,4	38.05	0.0
98	x_B,R,N,L,C,L,3	1492.45	0.0
99	x_B,R,N,L,C,L,4	78.55	0.0
102	x_B,R,N,L,I,M,2	106.4	0.0
104	x_B,R,N,L,I,M,4	5.6	0.0
108	x_B,R,N,L,I,L,3	107.35	0.0
