Index	Name	Value	Reduced Cost
0	y_0	6.465369931900005E8	0.0
1	y_1	5.1578356040000014E7	0.0
12	x_B,R,N,L,D,M,3	107.0	0.0
16	x_B,R,N,L,D,L,3	61.0	0.0
17	x_B,R,N,L,W,P,0	106.0	0.0
21	x_B,R,N,L,W,M,0	938.0	0.0
25	x_B,R,N,L,W,L,0	1333.0	0.0
30	x_B,R,N,L,C,P,1	80.0	0.0
34	x_B,R,N,L,C,M,1	761.0	0.0
38	x_B,R,N,L,C,L,1	1571.0	0.0
42	x_B,R,N,L,I,M,1	112.0	0.0
46	x_B,R,N,L,I,L,1	113.0	0.0
49	x_B,R,N,L,A,M,0	195.0	0.0
53	x_B,R,N,L,A,L,0	310.0	0.0
59	x_B,R,N,L,L,M,2	67.0	0.0
64	x_B,R,N,L,N,N,3	779.0	0.0
65	x_B,R,N,H,W,P,0	129.0	0.0
69	x_B,R,N,H,W,M,0	409.0	0.0
73	x_B,R,N,H,W,L,0	706.0	0.0
78	x_B,R,N,H,C,P,1	58.0	0.0
82	x_B,R,N,H,C,M,1	509.0	0.0
86	x_B,R,N,H,C,L,1	1019.0	0.0
89	x_B,R,N,H,A,M,0	57.0	0.0
95	x_B,R,N,H,L,M,2	118.0	0.0
100	x_B,R,N,C,P,P,3	55.0	0.0
104	x_B,R,N,C,P,M,3	442.0	0.0
107	x_B,R,N,C,P,L,2	837.0	0.0
112	x_B,R,N,C,D,P,3	56.0	0.0
116	x_B,R,N,C,D,M,3	377.0	0.0
120	x_B,R,N,C,D,L,3	542.0	0.0
121	x_B,R,N,C,W,S,0	163.0	0.0
125	x_B,R,N,C,W,P,0	260.0	0.0
129	x_B,R,N,C,W,M,0	1750.0	0.0
133	x_B,R,N,C,W,L,0	3076.0	0.0
138	x_B,R,N,C,C,S,1	104.0	0.0
142	x_B,R,N,C,C,P,1	194.0	0.0
146	x_B,R,N,C,C,M,1	987.0	0.0
150	x_B,R,N,C,C,L,1	4702.0	0.0
154	x_B,R,N,C,I,M,1	79.0	0.0
158	x_B,R,N,C,I,L,1	239.0	0.0
161	x_B,R,N,C,A,M,0	113.0	0.0
165	x_B,R,N,C,A,L,0	137.0	0.0
171	x_B,R,N,C,L,M,2	161.0	0.0
175	x_B,R,N,C,L,L,2	140.0	0.0
180	x_B,R,N,C,N,N,3	1412.0	0.0
184	x_B,R,N,R,P,M,3	136.0	0.0
187	x_B,R,N,R,P,L,2	68.0	0.0
192	x_B,R,N,R,D,M,3	120.0	0.0
196	x_B,R,N,R,D,L,3	314.0	0.0
197	x_B,R,N,R,W,S,0	61.0	0.0
201	x_B,R,N,R,W,P,0	128.0	0.0
205	x_B,R,N,R,W,M,0	606.0	0.0
209	x_B,R,N,R,W,L,0	1929.0	0.0
214	x_B,R,N,R,C,P,1	111.0	0.0
218	x_B,R,N,R,C,M,1	760.0	0.0
222	x_B,R,N,R,C,L,1	2381.0	0.0
225	x_B,R,N,R,A,L,0	79.0	0.0
231	x_B,R,N,R,L,L,2	56.0	0.0
236	x_B,R,N,R,N,N,3	1135.0	0.0
238	x_B,R,O,L,C,L,1	65.0	0.0
