Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Methods for Implementation	
BNNCAL	B	N	N	C	A	L	335	GS PB 	
BNNCAM	B	N	N	C	A	M	63	GS PB 	
BNNCAP	B	N	N	C	A	P	64	GS PB 	
BNNCCL	B	N	N	C	C	L	4121	GS PB 	
BNNCCM	B	N	N	C	C	M	1353	GS PB 	
BNNCCP	B	N	N	C	C	P	651	GS PB 	
BNNCCS	B	N	N	C	C	S	97	GS PB 	
BNNCDL	B	N	N	C	D	L	1725	GS PB 	
BNNCDM	B	N	N	C	D	M	540	GS PB 	
BNNCDP	B	N	N	C	D	P	77	GS PB 	
BNNCDS	B	N	N	C	D	S	84	GS PB 	
BNNCIL	B	N	N	C	I	L	247	GS PB 	
BNNCIM	B	N	N	C	I	M	61	GS PB 	
BNNCLL	B	N	N	C	L	L	181	GS PB 	
BNNCLM	B	N	N	C	L	M	92	GS PB 	
BNNCNN	B	N	N	C	N	N	1279	GS PB 	
BNNCPL	B	N	N	C	P	L	1268	GS PB 	
BNNCPM	B	N	N	C	P	M	909	GS PB 	
BNNCPP	B	N	N	C	P	P	142	GS PB 	
BNNCWL	B	N	N	C	W	L	4299	GS PB 	
BNNCWM	B	N	N	C	W	M	1664	GS PB 	
BNNCWP	B	N	N	C	W	P	310	GS PB 	
BNNCWS	B	N	N	C	W	S	107	GS PB 	
BNNHCL	B	N	N	H	C	L	71	GS PB 	
BNNLAL	B	N	N	L	A	L	378	GS PB 	
BNNLAM	B	N	N	L	A	M	157	GS PB 	
BNNLAS	B	N	N	L	A	S	86	GS PB 	
BNNLCL	B	N	N	L	C	L	1396	GS PB 	
BNNLCM	B	N	N	L	C	M	396	GS PB 	
BNNLCS	B	N	N	L	C	S	100	GS PB 	
BNNLDL	B	N	N	L	D	L	58	GS PB 	
BNNLIL	B	N	N	L	I	L	242	GS PB 	
BNNLIM	B	N	N	L	I	M	217	GS PB 	
BNNLIS	B	N	N	L	I	S	140	GS PB 	
BNNLLM	B	N	N	L	L	M	75	GS PB 	
BNNLNN	B	N	N	L	N	N	701	GS PB 	
BNNLPL	B	N	N	L	P	L	92	GS PB 	
