description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	53
Prism version when problem solved	PRISM ALPHA 1.0.29
Date & time problem solved	2018/02/19 - 10:34:40
Time reading (minutes & seconds)	57.3s
Time solving (minutes & seconds)	9.34s
Time writing (minutes & seconds)	12.0s
Total variables	472369
Total constraints	445300
Objective value	4.1966211764E8
