BRNHWM,B,R,N,H,W,M,409
BRNHWP,B,R,N,H,W,P,129
BRNLAL,B,R,N,L,A,L,310
BRNLAM,B,R,N,L,A,M,195
BRNLCL,B,R,N,L,C,L,1571
BRNLCM,B,R,N,L,C,M,761
BRNLCP,B,R,N,L,C,P,80
BRNLDL,B,R,N,L,D,L,61
BRNLDM,B,R,N,L,D,M,107
BRNLIL,B,R,N,L,I,L,113
BRNLIM,B,R,N,L,I,M,112
BRNLLM,B,R,N,L,L,M,67
BRNLNN,B,R,N,L,N,N,779
BRNLWL,B,R,N,L,W,L,1333
BRNLWM,B,R,N,L,W,M,938
BRNLWP,B,R,N,L,W,P,106
BRNRAL,B,R,N,R,A,L,79
BRNRCL,B,R,N,R,C,L,2381
BRNRCM,B,R,N,R,C,M,760
BRNRCP,B,R,N,R,C,P,111
BRNRDL,B,R,N,R,D,L,314
BRNRDM,B,R,N,R,D,M,120
BRNRLL,B,R,N,R,L,L,56
BRNRNN,B,R,N,R,N,N,1135
BRNRPL,B,R,N,R,P,L,68
BRNRPM,B,R,N,R,P,M,136
BRNRWL,B,R,N,R,W,L,1929
BRNRWM,B,R,N,R,W,M,606
BRNRWP,B,R,N,R,W,P,128
BRNRWS,B,R,N,R,W,S,61
BROCCL,B,R,O,C,C,L,311
BROCCM,B,R,O,C,C,M,51
BROCCS,B,R,O,C,C,S,78
BROCDL,B,R,O,C,D,L,128
BROCPL,B,R,O,C,P,L,83
BROCWL,B,R,O,C,W,L,335
BROCWM,B,R,O,C,W,M,66
BROHCL,B,R,O,H,C,L,168
BROLCL,B,R,O,L,C,L,65
BRORCL,B,R,O,R,C,L,1611
BRORCM,B,R,O,R,C,M,360
BRORCP,B,R,O,R,C,P,70
BRORCS,B,R,O,R,C,S,58
BRORDL,B,R,O,R,D,L,248
BRORNN,B,R,O,R,N,N,86
BRORPL,B,R,O,R,P,L,82
BRORWL,B,R,O,R,W,L,1268
BRORWM,B,R,O,R,W,M,246
BRORWP,B,R,O,R,W,P,63
BRORWS,B,R,O,R,W,S,60
BRPCAL,B,R,P,C,A,L,86
BRPCAS,B,R,P,C,A,S,77
BRPCCL,B,R,P,C,C,L,1056
BRPCCM,B,R,P,C,C,M,219
BRPCCP,B,R,P,C,C,P,64
BRPCCS,B,R,P,C,C,S,392
BRPCDL,B,R,P,C,D,L,217
BRPCDS,B,R,P,C,D,S,67
BRPCIL,B,R,P,C,I,L,167
BRPCIS,B,R,P,C,I,S,61
