description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	41
Time reading (minutes & seconds)	11m10.69s
Time solving (minutes & seconds)	0m12.76s
Time writing (minutes & seconds)	0m1.18s
Total variables	566729
Total constraints	532981
Objective value	5.878023629E7
