description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	53
Prism version when problem solved	PRISM ALPHA 1.1.01
Date & time problem solved	2018/04/18 - 20:52:15
Time reading (minutes & seconds)	2m44.44s
Time solving (minutes & seconds)	10.2s
Time writing (minutes & seconds)	12.98s
Total variables	472369
Total constraints	441178
Objective value	4.332666064E8
