description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	85
Prism version when problem solved	PRISM ALPHA 1.1.01
Date & time problem solved	2018/04/18 - 18:05:26
Time reading (minutes & seconds)	21m42.6s
Time solving (minutes & seconds)	3m50.17s
Time writing (minutes & seconds)	18.16s
Total variables	1709169
Total constraints	1534876
Objective value	1.782069818E7
