period1_covertype	period1_sizeclass	mixedfire_percentage	
P	S	3.0	
P	P	3.0	
P	M	3.0	
P	L	3.0	
P	N	3.0	
D	S	3.0	
D	P	3.0	
D	M	3.0	
D	L	3.0	
D	N	3.0	
W	S	3.0	
W	P	3.0	
W	M	3.0	
W	L	3.0	
W	N	3.0	
C	S	3.0	
C	P	3.0	
C	M	3.0	
C	L	3.0	
C	N	3.0	
I	S	3.0	
I	P	3.0	
I	M	3.0	
I	L	3.0	
I	N	3.0	
A	S	3.0	
A	P	3.0	
A	M	3.0	
A	L	3.0	
A	N	3.0	
L	S	3.0	
L	P	5.0	
L	M	5.0	
L	L	5.0	
L	N	5.0	
N	S	0.0	
N	P	0.0	
N	M	0.0	
N	L	0.0	
N	N	0.0	
