Index	Name	Value	Reduced Cost
336	x_B,R,O,R,W,P,3	61.11	 
337	x_B,R,O,R,W,P,4	1.89	 
338	x_B,R,O,R,W,M,0	238.62	 
342	x_B,R,O,R,W,M,4	7.38	 
343	x_B,R,O,R,W,L,0	1229.96	 
347	x_B,R,O,R,W,L,4	38.04	 
351	x_B,R,O,R,C,S,3	56.26	 
352	x_B,R,O,R,C,S,4	1.74	 
356	x_B,R,O,R,C,P,3	67.9	 
357	x_B,R,O,R,C,P,4	2.1	 
358	x_B,R,O,R,C,M,0	349.2	 
362	x_B,R,O,R,C,M,4	10.8	 
363	x_B,R,O,R,C,L,0	1562.67	 
367	x_B,R,O,R,C,L,4	48.33	 
368	x_B,R,P,L,W,S,0	134.83	 
372	x_B,R,P,L,W,S,4	4.17	 
373	x_B,R,P,L,W,P,0	82.45	 
377	x_B,R,P,L,W,P,4	2.55	 
378	x_B,R,P,L,W,M,0	65.96	 
382	x_B,R,P,L,W,M,4	2.04	 
386	x_B,R,P,L,W,L,3	411.28	 
387	x_B,R,P,L,W,L,4	12.72	 
391	x_B,R,P,L,C,S,3	150.35	 
392	x_B,R,P,L,C,S,4	4.65	 
396	x_B,R,P,L,C,P,3	51.41	 
397	x_B,R,P,L,C,P,4	1.59	 
401	x_B,R,P,L,C,M,3	82.45	 
402	x_B,R,P,L,C,M,4	2.55	 
406	x_B,R,P,L,C,L,3	456.87	 
407	x_B,R,P,L,C,L,4	14.13	 
410	x_B,R,P,L,I,L,2	69.84	 
412	x_B,R,P,L,I,L,4	2.16	 
415	x_B,R,P,L,A,M,2	74.69	 
417	x_B,R,P,L,A,M,4	2.31	 
420	x_B,R,P,L,A,L,2	82.45	 
422	x_B,R,P,L,A,L,4	2.55	 
426	x_B,R,P,H,W,P,3	73.72	 
427	x_B,R,P,H,W,P,4	2.28	 
431	x_B,R,P,H,W,M,3	196.91	 
432	x_B,R,P,H,W,M,4	6.09	 
433	x_B,R,P,H,W,L,0	314.28	 
437	x_B,R,P,H,W,L,4	9.72	 
441	x_B,R,P,H,C,M,3	323.01	 
442	x_B,R,P,H,C,M,4	9.99	 
443	x_B,R,P,H,C,L,0	624.68	 
447	x_B,R,P,H,C,L,4	19.32	 
450	x_B,R,P,H,L,L,2	75.05	 
452	x_B,R,P,H,L,L,4	3.95	 
454	x_B,R,P,C,P,S,1	51.41	 
457	x_B,R,P,C,P,S,4	1.59	 
459	x_B,R,P,C,P,L,1	284.21	 
462	x_B,R,P,C,P,L,4	8.79	 
464	x_B,R,P,C,D,S,1	64.99	 
467	x_B,R,P,C,D,S,4	2.01	 
469	x_B,R,P,C,D,L,1	210.49	 
472	x_B,R,P,C,D,L,4	6.51	 
476	x_B,R,P,C,W,S,3	450.08	 
477	x_B,R,P,C,W,S,4	13.92	 
478	x_B,R,P,C,W,P,0	268.69	 
482	x_B,R,P,C,W,P,4	8.31	 
483	x_B,R,P,C,W,M,0	155.2	 
487	x_B,R,P,C,W,M,4	4.8	 
488	x_B,R,P,C,W,L,0	1131.99	 
492	x_B,R,P,C,W,L,4	35.01	 
496	x_B,R,P,C,C,S,3	380.24	 
497	x_B,R,P,C,C,S,4	11.76	 
501	x_B,R,P,C,C,P,3	62.08	 
502	x_B,R,P,C,C,P,4	1.92	 
503	x_B,R,P,C,C,M,0	212.43	 
507	x_B,R,P,C,C,M,4	6.57	 
508	x_B,R,P,C,C,L,0	1024.32	 
512	x_B,R,P,C,C,L,4	31.68	 
