description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	85
Prism version when problem solved	PRISM ALPHA 1.1.06
Date & time problem solved	2018/05/16 - 18:18:39
Time reading (minutes & seconds)	7m17.86s
Time solving (minutes & seconds)	4m15.37s
Time writing (minutes & seconds)	16.28s
Total variables	1709169
Total constraints	1534876
Objective value	1.782069818E7
