Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Available Methods/Prescriptions	Methods for Implementation	
BRNCPM	B	R	N	C	P	M	442	null	EA 	
BRNCPP	B	R	N	C	P	P	55	null	EA 	
BRNCWL	B	R	N	C	W	L	3076	null	EA 	
BRNCWM	B	R	N	C	W	M	1750	null	EA 	
BRNCWP	B	R	N	C	W	P	260	null	EA 	
BRNCWS	B	R	N	C	W	S	163	null	EA 	
BRNHAM	B	R	N	H	A	M	57	null	EA 	
BRNHCL	B	R	N	H	C	L	1019	null	EA 	
BRNHCM	B	R	N	H	C	M	509	null	EA 	
BRNHCP	B	R	N	H	C	P	58	null	EA 	
BRNHLM	B	R	N	H	L	M	118	null	EA 	
BRNHWL	B	R	N	H	W	L	706	null	EA 	
BRNHWM	B	R	N	H	W	M	409	null	EA 	
BRNHWP	B	R	N	H	W	P	129	null	EA 	
BRNLAL	B	R	N	L	A	L	310	null	EA 	
BRNLAM	B	R	N	L	A	M	195	null	EA 	
BRNLCL	B	R	N	L	C	L	1571	null	EA 	
BRNLCM	B	R	N	L	C	M	761	null	EA 	
BRNLCP	B	R	N	L	C	P	80	null	EA 	
BRNLDL	B	R	N	L	D	L	61	null	EA 	
BRNLDM	B	R	N	L	D	M	107	null	EA 	
BRNLIL	B	R	N	L	I	L	113	null	EA 	
BRNLIM	B	R	N	L	I	M	112	null	EA 	
BRNLLM	B	R	N	L	L	M	67	null	EA 	
BRNLWL	B	R	N	L	W	L	1333	null	EA 	
BRNLWM	B	R	N	L	W	M	938	null	EA 	
BRNLWP	B	R	N	L	W	P	106	null	EA 	
BRNRAL	B	R	N	R	A	L	79	null	EA 	
BRNRCL	B	R	N	R	C	L	2381	null	EA 	
BRNRCM	B	R	N	R	C	M	760	null	EA 	
BRNRCP	B	R	N	R	C	P	111	null	EA 	
BRNRDL	B	R	N	R	D	L	314	null	EA 	
BRNRDM	B	R	N	R	D	M	120	null	EA 	
BRNRLL	B	R	N	R	L	L	56	null	EA 	
BRNRPL	B	R	N	R	P	L	68	null	EA 	
BRNRPM	B	R	N	R	P	M	136	null	EA 	
BRNRWL	B	R	N	R	W	L	1929	null	EA 	
BRNRWM	B	R	N	R	W	M	606	null	EA 	
BRNRWP	B	R	N	R	W	P	128	null	EA 	
BRNRWS	B	R	N	R	W	S	61	null	EA 	
BROCCL	B	R	O	C	C	L	311	null	EA 	
BROCCM	B	R	O	C	C	M	51	null	EA 	
BROCCS	B	R	O	C	C	S	78	null	EA 	
BROCDL	B	R	O	C	D	L	128	null	EA 	
BROCPL	B	R	O	C	P	L	83	null	EA 	
BROCWL	B	R	O	C	W	L	335	null	EA 	
BROCWM	B	R	O	C	W	M	66	null	EA 	
BROHCL	B	R	O	H	C	L	168	null	EA 	
BROLCL	B	R	O	L	C	L	65	null	EA 	
BRORCL	B	R	O	R	C	L	1611	null	EA 	
BRORCM	B	R	O	R	C	M	360	null	EA 	
BRORCP	B	R	O	R	C	P	70	null	EA 	
BRORCS	B	R	O	R	C	S	58	null	EA 	
BRORDL	B	R	O	R	D	L	248	null	EA 	
BRORPL	B	R	O	R	P	L	82	null	EA 	
BRORWL	B	R	O	R	W	L	1268	null	EA 	
BRORWM	B	R	O	R	W	M	246	null	EA 	
BRORWP	B	R	O	R	W	P	63	null	EA 	
BRORWS	B	R	O	R	W	S	60	null	EA 	
BRPCAL	B	R	P	C	A	L	86	null	EA 	
BRPCAS	B	R	P	C	A	S	77	null	EA 	
BRPCCL	B	R	P	C	C	L	1056	null	EA 	
BRPCCM	B	R	P	C	C	M	219	null	EA 	
BRPCCP	B	R	P	C	C	P	64	null	EA 	
BRPCCS	B	R	P	C	C	S	392	null	EA 	
BRPCDL	B	R	P	C	D	L	217	null	EA 	
BRPCDS	B	R	P	C	D	S	67	null	EA 	
BRPCIL	B	R	P	C	I	L	167	null	EA 	
