description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Date & time problem solved	2017/10/30 - 01:00:29
Time reading (minutes & seconds)	7m12.32s
Time solving (minutes & seconds)	16.75s
Time writing (minutes & seconds)	2.07s
Total variables	545220
Total constraints	506150
Objective value	9.2475675009E8
