description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	43
Prism version when problem solved	PRISM ALPHA 1.1.08
Date & time problem solved	2018/05/30 - 10:32:56
Time reading (minutes & seconds)	25.74s
Time solving (minutes & seconds)	8.86s
Time writing (minutes & seconds)	9.75s
Total variables	566729
Total constraints	528301
Objective value	3.714618848E7
