description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	53
Prism version when problem solved	PRISM ALPHA 1.1.07
Date & time problem solved	2018/05/19 - 12:59:40
Time reading (minutes & seconds)	22.98s
Time solving (minutes & seconds)	10.82s
Time writing (minutes & seconds)	13.75s
Total variables	472369
Total constraints	441178
Objective value	4.332666064E8
