description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	59
Time reading (minutes & seconds)	7m13.89s
Time solving (minutes & seconds)	0m14.46s
Time writing (minutes & seconds)	0m6.05s
Total variables	542205
Total constraints	501583
Objective value	5.954983711E7
