description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	59
Time reading (minutes & seconds)	9m12.98s
Time solving (minutes & seconds)	0m15.29s
Time writing (minutes & seconds)	0m5.84s
Total variables	542205
Total constraints	501583
Objective value	5.954983711E7
