description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	41
Time reading (minutes & seconds)	6m3.54s
Time solving (minutes & seconds)	0m12.65s
Time writing (minutes & seconds)	0m22.65s
Total variables	566729
Total constraints	532981
Objective value	5.878023629E7
