Index	Name	Value	Reduced Cost
0	y_0	500000.0	0.0
1	y_1	728677.54	0.0
2	y_2	500000.0	0.0
3	y_3	2.2269195028E8	0.0
9	u_1	228677.54	0.0
13	x_B,R,N,L,D,M,1	103.79	0.0
16	x_B,R,N,L,D,M,4	3.21	0.0
17	x_B,R,N,L,D,L,0	59.17	0.0
21	x_B,R,N,L,D,L,4	1.83	0.0
22	x_B,R,N,L,W,P,0	102.82	0.0
26	x_B,R,N,L,W,P,4	3.18	0.0
28	x_B,R,N,L,W,M,1	909.86	0.0
31	x_B,R,N,L,W,M,4	28.14	0.0
32	x_B,R,N,L,W,L,0	1293.01	0.0
36	x_B,R,N,L,W,L,4	39.99	0.0
38	x_B,R,N,L,C,P,1	77.6	0.0
41	x_B,R,N,L,C,P,4	2.4	0.0
43	x_B,R,N,L,C,M,1	738.17	0.0
46	x_B,R,N,L,C,M,4	22.83	0.0
47	x_B,R,N,L,C,L,0	1523.87	0.0
51	x_B,R,N,L,C,L,4	47.13	0.0
53	x_B,R,N,L,I,M,1	108.64	0.0
56	x_B,R,N,L,I,M,4	3.36	0.0
57	x_B,R,N,L,I,L,0	109.61	0.0
61	x_B,R,N,L,I,L,4	3.39	0.0
62	x_B,R,N,L,A,M,0	189.15	0.0
66	x_B,R,N,L,A,M,4	5.85	0.0
67	x_B,R,N,L,A,L,0	300.7	0.0
71	x_B,R,N,L,A,L,4	9.3	0.0
72	x_B,R,N,L,L,M,0	63.65	0.0
76	x_B,R,N,L,L,M,4	3.35	0.0
77	x_B,R,N,H,W,P,0	125.13	0.0
81	x_B,R,N,H,W,P,4	3.87	0.0
82	x_B,R,N,H,W,M,0	396.73	0.0
86	x_B,R,N,H,W,M,4	12.27	0.0
87	x_B,R,N,H,W,L,0	684.82	0.0
91	x_B,R,N,H,W,L,4	21.18	0.0
93	x_B,R,N,H,C,P,1	56.26	0.0
96	x_B,R,N,H,C,P,4	1.74	0.0
98	x_B,R,N,H,C,M,1	493.73	0.0
101	x_B,R,N,H,C,M,4	15.27	0.0
