Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
BNNRCL	B	N	N	R	C	L	1707	8	Yes	
BNNRCM	B	N	N	R	C	M	355	8	Yes	
BNNRDL	B	N	N	R	D	L	77	8	Yes	
BNNRPL	B	N	N	R	P	L	116	8	Yes	
BNNRWL	B	N	N	R	W	L	943	8	Yes	
BNNRWM	B	N	N	R	W	M	291	8	Yes	
BNOHCL	B	N	O	H	C	L	675	8	Yes	
BNOHCM	B	N	O	H	C	M	133	8	Yes	
BNOHWL	B	N	O	H	W	L	287	8	Yes	
BNORCL	B	N	O	R	C	L	2401	8	Yes	
BNORCM	B	N	O	R	C	M	385	8	Yes	
BNORDL	B	N	O	R	D	L	171	8	Yes	
BNORDM	B	N	O	R	D	M	90	8	Yes	
BNORPL	B	N	O	R	P	L	127	8	Yes	
BNORWL	B	N	O	R	W	L	1338	8	Yes	
BNORWM	B	N	O	R	W	M	162	8	Yes	
BNPCCL	B	N	P	C	C	L	78	8	Yes	
BNPHCL	B	N	P	H	C	L	478	8	Yes	
BNPHCM	B	N	P	H	C	M	135	8	Yes	
BNPHWL	B	N	P	H	W	L	245	8	Yes	
BNPHWM	B	N	P	H	W	M	90	8	Yes	
BNPRCL	B	N	P	R	C	L	1246	8	Yes	
BNPRCM	B	N	P	R	C	M	323	8	Yes	
BNPRDL	B	N	P	R	D	L	65	8	Yes	
BNPRPL	B	N	P	R	P	L	77	8	Yes	
BNPRWL	B	N	P	R	W	L	742	8	Yes	
BNPRWM	B	N	P	R	W	M	220	8	Yes	
BNSHCL	B	N	S	H	C	L	1617	8	Yes	
BNSHCM	B	N	S	H	C	M	293	8	Yes	
BNSHIL	B	N	S	H	I	L	57	8	Yes	
BNSHLL	B	N	S	H	L	L	104	8	Yes	
BNSHWL	B	N	S	H	W	L	974	8	Yes	
BNSHWM	B	N	S	H	W	M	206	8	Yes	
BNSRCL	B	N	S	R	C	L	8882	8	Yes	
BNSRCM	B	N	S	R	C	M	1847	8	Yes	
