strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	model_strata	
B2BNIJ	B	2	B	N	I	J	829.54	3	true	
B2BNIK	B	2	B	N	I	K	1005.75	3	true	
B2BNIN	B	2	B	N	I	N	262.58	6	true	
B2BNIO	B	2	B	N	I	O	583.09	6	true	
B2BNTF	B	2	B	N	T	F	396.53	1	true	
B2BNTN	B	2	B	N	T	N	795.63	6	true	
B2BNTO	B	2	B	N	T	O	338.16	6	true	
B2BNVJ	B	2	B	N	V	J	200.61	3	true	
B2BNVM	B	2	B	N	V	M	222.81	6	true	
B2BNVN	B	2	B	N	V	N	1691.14	6	true	
B2BNVO	B	2	B	N	V	O	549.78	6	true	
B2BNWF	B	2	B	N	W	F	267.61	1	true	
B2BNWG	B	2	B	N	W	G	316.89	1	true	
B2BNWJ	B	2	B	N	W	J	438.31	3	true	
B2BNWK	B	2	B	N	W	K	994.17	3	true	
B2BNWO	B	2	B	N	W	O	237.99	6	true	
B2GNEK	B	2	G	N	E	K	457.37	3	true	
B2GNHF	B	2	G	N	H	F	181.25	1	true	
B2GNTF	B	2	G	N	T	F	280.56	1	true	
B2GNTN	B	2	G	N	T	N	490.85	6	true	
B2LNEI	B	2	L	N	E	I	186.89	3	true	
B2LNEJ	B	2	L	N	E	J	1753.84	3	true	
B2LNEK	B	2	L	N	E	K	944.96	3	true	
B2LNEN	B	2	L	N	E	N	279.11	6	true	
B2LNHF	B	2	L	N	H	F	2226.77	1	true	
B2LNHN	B	2	L	N	H	N	424.98	6	true	
B2LNHO	B	2	L	N	H	O	271.8	6	true	
B2LNIF	B	2	L	N	I	F	514.91	1	true	
B2LNIG	B	2	L	N	I	G	359.58	1	true	
B2LNIJ	B	2	L	N	I	J	1051.78	3	true	
B2LNIK	B	2	L	N	I	K	979.44	3	true	
B2LNIN	B	2	L	N	I	N	458.1	6	true	
B2LNIO	B	2	L	N	I	O	388.46	6	true	
B2LNTF	B	2	L	N	T	F	2909.0	1	true	
B2LNTJ	B	2	L	N	T	J	292.95	3	true	
B2LNTK	B	2	L	N	T	K	198.37	3	true	
B2LNTM	B	2	L	N	T	M	416.29	6	true	
B2LNTN	B	2	L	N	T	N	2637.73	6	true	
B2LNTO	B	2	L	N	T	O	1055.24	6	true	
B2LNTR	B	2	L	N	T	R	292.68	10	true	
B2LNVJ	B	2	L	N	V	J	537.21	3	true	
B2LNVK	B	2	L	N	V	K	212.13	3	true	
B2LNVM	B	2	L	N	V	M	318.57	6	true	
B2LNVN	B	2	L	N	V	N	1696.18	6	true	
B2LNVO	B	2	L	N	V	O	749.91	6	true	
B2LNVR	B	2	L	N	V	R	184.78	10	true	
B2LNWF	B	2	L	N	W	F	577.32	1	true	
B2LNWG	B	2	L	N	W	G	507.26	1	true	
B2LNWI	B	2	L	N	W	I	833.45	3	true	
B2LNWJ	B	2	L	N	W	J	3948.0	3	true	
B2LNWK	B	2	L	N	W	K	2206.11	3	true	
B2LNWN	B	2	L	N	W	N	334.87	6	true	
B2ONEF	B	2	O	N	E	F	341.04	1	true	
B2ONEG	B	2	O	N	E	G	251.61	1	true	
B2ONEJ	B	2	O	N	E	J	394.93	3	true	
B2ONEK	B	2	O	N	E	K	516.04	3	true	
B2ONEN	B	2	O	N	E	N	165.93	6	true	
B2ONHF	B	2	O	N	H	F	433.37	1	true	
B2ONTF	B	2	O	N	T	F	451.1	1	true	
B2ONTH	B	2	O	N	T	H	317.18	3	true	
B2ONTI	B	2	O	N	T	I	210.25	3	true	
B2ONTJ	B	2	O	N	T	J	316.83	3	true	
B2ONTK	B	2	O	N	T	K	240.35	3	true	
B2ONTL	B	2	O	N	T	L	419.49	6	true	
B2ONTM	B	2	O	N	T	M	1143.92	6	true	
B2ONTN	B	2	O	N	T	N	2380.94	6	true	
B2ONTO	B	2	O	N	T	O	522.08	6	true	
B2ONTQ	B	2	O	N	T	Q	455.47	10	true	
B2ONTR	B	2	O	N	T	R	736.74	10	true	
B2ONWG	B	2	O	N	W	G	263.49	1	true	
B3LNHF	B	3	L	N	H	F	603.38	1	true	
B3LNTF	B	3	L	N	T	F	412.79	1	true	
B3LNWK	B	3	L	N	W	K	452.37	3	true	
B4LNEJ	B	4	L	N	E	J	247.67	3	true	
B4LNEK	B	4	L	N	E	K	223.81	3	true	
B4LNIJ	B	4	L	N	I	J	189.22	3	true	
B4LNIK	B	4	L	N	I	K	250.37	3	true	
B4LNTN	B	4	L	N	T	N	459.76	6	true	
B4LNTO	B	4	L	N	T	O	376.59	6	true	
B4LNVN	B	4	L	N	V	N	544.43	6	true	
B4LNVO	B	4	L	N	V	O	724.34	6	true	
B4LNWJ	B	4	L	N	W	J	823.15	3	true	
B4LNWK	B	4	L	N	W	K	1121.6	3	true	
B4LNWN	B	4	L	N	W	N	252.19	6	true	
B4ONEK	B	4	O	N	E	K	255.78	3	true	
B4ONTL	B	4	O	N	T	L	310.91	6	true	
B4ONTM	B	4	O	N	T	M	339.6	6	true	
B4ONTN	B	4	O	N	T	N	832.84	6	true	
B4ONTO	B	4	O	N	T	O	221.24	6	true	
B6LNEF	B	6	L	N	E	F	211.21	1	true	
B6LNEG	B	6	L	N	E	G	192.19	1	true	
B6LNEJ	B	6	L	N	E	J	553.7	3	true	
B6LNEK	B	6	L	N	E	K	695.69	3	true	
B6LNEO	B	6	L	N	E	O	220.79	6	true	
B6LNHF	B	6	L	N	H	F	1044.92	1	true	
B6LNHN	B	6	L	N	H	N	304.26	6	true	
B6LNIG	B	6	L	N	I	G	264.16	1	true	
B6LNIJ	B	6	L	N	I	J	234.46	3	true	
B6LNIK	B	6	L	N	I	K	230.47	3	true	
B6LNIN	B	6	L	N	I	N	232.68	6	true	
B6LNTF	B	6	L	N	T	F	1168.03	1	true	
B6LNTN	B	6	L	N	T	N	948.34	6	true	
B6LNTO	B	6	L	N	T	O	665.69	6	true	
B6LNVN	B	6	L	N	V	N	881.81	6	true	
B6LNVO	B	6	L	N	V	O	728.59	6	true	
B6LNWF	B	6	L	N	W	F	268.11	1	true	
B6LNWG	B	6	L	N	W	G	513.0	1	true	
B6LNWJ	B	6	L	N	W	J	1238.58	3	true	
B6LNWK	B	6	L	N	W	K	1430.63	3	true	
B6ONEG	B	6	O	N	E	G	354.11	1	true	
B6ONEJ	B	6	O	N	E	J	298.47	3	true	
B6ONIG	B	6	O	N	I	G	215.68	1	true	
B6ONTF	B	6	O	N	T	F	377.34	1	true	
B6ONTN	B	6	O	N	T	N	753.29	6	true	
B6ONTR	B	6	O	N	T	R	464.59	10	true	
B6ONWG	B	6	O	N	W	G	621.16	1	true	
I1BNDF	I	1	B	N	D	F	30449.5	1	true	
I1BNDJ	I	1	B	N	D	J	550.12	3	true	
I1BNDK	I	1	B	N	D	K	2028.68	3	true	
I1BNDM	I	1	B	N	D	M	166.76	6	true	
I1BNDN	I	1	B	N	D	N	521.27	6	true	
I1BNDO	I	1	B	N	D	O	3059.07	6	true	
I1BNEF	I	1	B	N	E	F	435.18	1	true	
I1BNEG	I	1	B	N	E	G	1607.74	1	true	
I1BNEK	I	1	B	N	E	K	4424.15	3	true	
I1BNEO	I	1	B	N	E	O	1713.39	6	true	
I1BNFF	I	1	B	N	F	F	400.98	1	true	
I1BNFG	I	1	B	N	F	G	251.09	1	true	
I1BNFH	I	1	B	N	F	H	444.28	3	true	
I1BNFI	I	1	B	N	F	I	1102.16	3	true	
I1BNFJ	I	1	B	N	F	J	2910.5	3	true	
I1BNFK	I	1	B	N	F	K	17353.8	3	true	
I1BNFM	I	1	B	N	F	M	692.11	6	true	
I1BNFN	I	1	B	N	F	N	2929.87	6	true	
I1BNFO	I	1	B	N	F	O	18996.7	6	true	
I1BNFS	I	1	B	N	F	S	348.25	10	true	
I1BNGF	I	1	B	N	G	F	6406.56	1	true	
I1BNGG	I	1	B	N	G	G	13972.1	1	true	
I1BNGJ	I	1	B	N	G	J	837.2	3	true	
I1BNGK	I	1	B	N	G	K	27311.4	3	true	
I1BNGO	I	1	B	N	G	O	3303.11	6	true	
I1BNHF	I	1	B	N	H	F	35126.2	1	true	
