period1_covertype	period1_sizeclass	mixedfire_percentage	barkbeetle_percentage	
P	S	5.4645645645646	4.5	
P	P	5.4645645645646	4.5	
P	M	5.4645645645646	4.5	
P	L	5.4645645645646	4.5	
P	N	5.4645645645646	4.5	
D	S	5.4645645645646	4.5	
D	P	5.4645645645646	4.5	
D	M	5.4645645645646	4.5	
D	L	5.4645645645646	4.5	
D	N	5.4645645645646	4.5	
W	S	5.4645645645646	4.5	
W	P	5.4645645645646	4.5	
W	M	5.4645645645646	4.5	
W	L	5.4645645645646	4.5	
W	N	5.4645645645646	4.5	
C	S	5.4645645645646	4.5	
C	P	5.4645645645646	4.5	
C	M	5.4645645645646	4.5	
C	L	5.4645645645646	4.5	
C	N	5.4645645645646	4.5	
I	S	5.4645645645646	4.5	
I	P	5.4645645645646	4.5	
I	M	5.4645645645646	4.5	
I	L	5.4645645645646	4.5	
I	N	5.4645645645646	4.5	
A	S	5.4645645645646	4.5	
A	P	5.4645645645646	4.5	
A	M	5.4645645645646	4.5	
A	L	5.4645645645646	4.5	
A	N	5.4645645645646	4.5	
L	S	5.4645645645646	4.5	
L	P	5.4645645645646	4.5	
L	M	5.4645645645646	4.5	
L	L	5.4645645645646	4.5	
L	N	5.4645645645646	4.5	
N	S	5.4645645645646	0.0	
N	P	5.4645645645646	0.0	
N	M	5.4645645645646	0.0	
N	L	5.4645645645646	0.0	
N	N	5.4645645645646	0.0	
