description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	75
Prism version when problem solved	PRISM ALPHA 1.2.01
Date & time problem solved	2018/06/17 - 02:14:30
Time reading (minutes & seconds)	1m53.5s
Time solving (minutes & seconds)	4m38.58s
Time writing (minutes & seconds)	19.35s
Total variables	1708869
Total constraints	1534576
Objective value	1.583977774E7
