description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	69
Prism version when problem solved	PRISM ALPHA 1.0.31
Date & time problem solved	2018/03/07 - 08:16:51
Time reading (minutes & seconds)	20m8.8s
Time solving (minutes & seconds)	3m57.78s
Time writing (minutes & seconds)	28.32s
Total variables	1709169
Total constraints	1544176
Objective value	1.782069818E7
