description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	41
Time reading (minutes & seconds)	6m19.3s
Time solving (minutes & seconds)	0m12.98s
Time writing (minutes & seconds)	0m27.79s
Total variables	566729
Total constraints	532981
Objective value	5.878023629E7
