fly_id	fly_description	fly_type	fly_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	fly_value	
24	set constraint 24 - layer4 L - silviculture method MS_E - time period 4	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 MS_E;7 4	NoIdentifier	NoIdentifier	617.4	
25	set constraint 25 - layer4 L - silviculture method MS_E - time period 5	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 MS_E;7 5	NoIdentifier	NoIdentifier	617.4	
26	set constraint 26 - layer4 L - silviculture method BS_E - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 BS_E;7 1	NoIdentifier	NoIdentifier	0.0	
27	set constraint 27 - layer4 L - silviculture method BS_E - time period 2	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 BS_E;7 2	NoIdentifier	NoIdentifier	0.0	
28	set constraint 28 - layer4 L - silviculture method BS_E - time period 3	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 BS_E;7 3	NoIdentifier	NoIdentifier	0.0	
29	set constraint 29 - layer4 L - silviculture method BS_E - time period 4	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 BS_E;7 4	NoIdentifier	NoIdentifier	0.0	
30	set constraint 30 - layer4 L - silviculture method BS_E - time period 5	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 BS_E;7 5	NoIdentifier	NoIdentifier	0.0	
31	set constraint 31 - layer4 L - silviculture method NG_R - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_R;7 1	NoIdentifier	NoIdentifier	0.0	
32	set constraint 32 - layer4 L - silviculture method NG_R - time period 2	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_R;7 2	NoIdentifier	NoIdentifier	158.0914	
33	set constraint 33 - layer4 L - silviculture method NG_R - time period 3	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_R;7 3	NoIdentifier	NoIdentifier	181.23641720000003	
34	set constraint 34 - layer4 L - silviculture method NG_R - time period 4	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_R;7 4	NoIdentifier	NoIdentifier	204.33514436560003	
35	set constraint 35 - layer4 L - silviculture method NG_R - time period 5	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 NG_R;7 5	NoIdentifier	NoIdentifier	227.38767407686882	
36	set constraint 36 - layer4 L - silviculture method PB_R - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_R;7 1	NoIdentifier	NoIdentifier	0.0	
37	set constraint 37 - layer4 L - silviculture method PB_R - time period 2	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_R;7 2	NoIdentifier	NoIdentifier	0.0	
38	set constraint 38 - layer4 L - silviculture method PB_R - time period 3	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_R;7 3	NoIdentifier	NoIdentifier	0.0	
39	set constraint 39 - layer4 L - silviculture method PB_R - time period 4	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_R;7 4	NoIdentifier	NoIdentifier	0.0	
40	set constraint 40 - layer4 L - silviculture method PB_R - time period 5	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 PB_R;7 5	NoIdentifier	NoIdentifier	0.0	
41	set constraint 41 - layer4 L - silviculture method GS_R - time period 1	null	1.0	null	null	null	null	NoParameter	0 B U S K R C;1 R N;2 N O P S;3 L;4 P D W C I A L N;5 S P M L N;6 GS_R;7 1	NoIdentifier	NoIdentifier	0.0	
