description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	53
Time reading (minutes & seconds)	1m28.77s
Time solving (minutes & seconds)	0m10.54s
Time writing (minutes & seconds)	0m1.94s
Total variables	472369
Total constraints	445338
Objective value	4.332666064E8
